,Microsoft,Apple,Amazon,Google,Facebook,Johnson & Johnson,Walmart,Procter & Gamble,JPMorgan Chase,UnitedHealth Group,Intel,Verizon,AT&T,The Home Depot,Merck,Pfizer,CocaCola,Bank of America,Netflix,Pepsi,Disney,Cisco,NVIDIA,Exxon,Abbott Laboratories,Oracle,Comcast,Adobe,Chevron,Eli Lilly,Covid-19,Pandemic,presidential election,Lockdown,Face masks,Coronavirus,Quarantine,EDD,sba loans,unemployment check,swine flu,flu,zika
2011-01-30,82.0,28.380000000000006,30.94,39.15,76.56,30.96,34.0,19.84,12.92,17.25,72.0,31.0,47.45,16.02,45.12,22.94,21.5,40.05,66.75,21.84,39.84,37.44,92.0,24.36,12.420000000000002,21.75,73.47,83.42,38.0,58.88,0.0,2.0,0.61,1.22,0.29,0.0,0.61,6.45,1.7000000000000002,2.13,2.45,9.46,0.0
2011-01-31,94.0,22.77,26.860000000000007,41.85,62.64,48.24,27.6,15.36,63.08,51.74999999999999,99.0,31.0,48.1,13.14,61.1,40.92,32.5,55.18,53.25,21.32,28.8,70.08,64.0,42.0,25.380000000000006,64.38,73.47,94.09,27.74,58.88,0.0,1.48,0.61,0.9,0.22,0.0,0.87,10.5,4.2,2.16,4.65,10.78,0.0
2011-02-01,96.0,23.1,27.9,44.18,71.39999999999998,43.66,28.86,56.88,44.25,29.26,99.0,56.7,53.46,13.5,69.0,65.0,13.78,68.85,46.24,9.6,29.7,87.0,68.08,38.07,25.46,77.19,71.38,90.21,32.68,71.0,0.0,1.24,0.67,0.73,0.54,0.0,0.87,8.19,3.5,0.68,3.6,10.44,0.0
2011-02-02,93.12,23.7,28.21,42.77,73.1,40.7,29.25,46.08,38.35,22.33,87.12,60.3,55.44000000000001,9.54,63.0,53.3,18.55,63.75,47.6,7.8,32.85,81.0,73.60000000000002,36.19,14.44,82.77000000000002,79.67999999999998,87.3,30.4,52.0,0.0,1.6,0.47,1.0,0.79,0.0,0.51,8.84,2.0500000000000003,1.92,3.0,8.76,0.0
2011-02-03,91.2,24.3,26.35,45.12,71.39999999999998,52.54,29.64,47.52,26.55,23.1,84.15,90.0,56.1,11.7,88.0,48.75,9.54,66.3,42.84,8.7,30.15,87.0,73.60000000000002,33.37,20.52,82.77000000000002,73.03999999999998,89.24,25.84,69.0,0.0,1.66,0.68,0.65,0.75,0.0,0.68,8.06,3.4000000000000004,0.72,4.38,10.44,0.0
2011-02-04,82.56,24.6,26.35,44.18,73.1,56.24,31.98,24.48,30.68,16.17,77.22,73.8,60.06,14.04,68.0,44.85,14.84,75.64999999999998,45.56,9.3,32.85,84.0,84.64,31.49,36.48,80.91000000000003,73.03999999999998,88.27,25.84,100.0,0.0,1.46,0.68,0.77,0.52,0.0,0.55,9.49,3.0,1.3,3.6,9.36,0.0
2011-02-05,74.88,27.6,30.07,41.36,85.0,31.82,39.0,30.24,24.78,19.25,84.15,63.9,58.08000000000001,14.22,40.0,22.75,18.55,68.0,65.96000000000001,9.3,40.05,46.0,90.16,22.56,11.02,29.76,83.0,79.53999999999998,24.32,27.0,0.0,1.38,0.61,0.51,0.71,0.0,0.53,6.24,2.0,1.82,1.7999999999999998,8.16,0.0
2011-02-06,75.84,27.3,30.69,39.48,85.0,24.42,37.05,30.24,42.48,20.02,74.25,56.7,48.84,10.98,46.0,16.25,24.91,48.45,64.60000000000001,10.5,40.95,40.0,89.24000000000002,19.27,19.0,26.97,74.7,86.33,19.0,34.0,0.0,0.74,0.53,0.52,0.88,0.0,0.55,4.42,1.35,0.7000000000000001,2.64,8.28,0.0
2011-02-07,86.39999999999998,25.2,29.14,43.71,69.7,42.92,28.47,23.76,56.05,30.8,77.22,64.8,54.12000000000001,14.4,76.0,36.4,53.0,63.75,39.44000000000001,30.0,29.7,79.0,64.4,33.84,29.64,67.89,73.03999999999998,82.45,23.94,75.0,0.0,1.02,0.36,0.31,0.56,0.0,0.6900000000000001,9.36,2.1,1.28,5.16,10.08,0.0
2011-02-08,86.39999999999998,25.5,28.52,47.0,68.85,53.28,29.25,23.76,39.53,30.8,82.17,69.3,56.76000000000001,13.5,71.0,33.15,33.39,64.6,43.52,16.2,31.5,85.0,72.68,38.07,38.0,87.42,73.86999999999998,89.24,25.46,47.0,0.0,1.36,0.72,0.46,0.43,0.0,0.89,9.36,2.3000000000000003,0.72,4.08,11.64,0.0
2011-02-09,94.08,26.4,26.35,45.59,69.7,63.64,29.25,24.48,50.15,62.37000000000001,70.29,74.7,58.74,12.6,86.0,33.800000000000004,38.69000000000001,64.6,40.8,14.1,30.15,91.0,74.52000000000002,28.67,35.72,92.07,70.55,97.0,22.42,70.0,0.0,1.34,0.51,0.63,0.88,0.0,0.6900000000000001,10.66,2.9000000000000004,1.26,6.0,11.28,0.0
2011-02-10,96.0,25.5,26.35,43.24,68.85,63.64,28.86,24.48,50.15,31.57,79.2,83.7,61.38,12.78,76.0,31.200000000000006,49.29,62.9,40.12000000000001,10.8,30.6,100.0,81.88000000000002,36.19,30.02,79.98,68.06,96.03,31.54,65.0,0.0,1.32,0.76,0.64,0.5700000000000001,0.0,0.97,8.06,2.4000000000000004,1.28,4.98,10.32,0.0
2011-02-11,85.44,26.1,26.35,45.59,71.39999999999998,45.88,31.200000000000006,63.36,38.94,33.11,72.27,78.3,64.68,15.3,72.0,34.45,25.44,72.25,41.48,11.1,31.05,87.0,81.88000000000002,31.02,19.0,91.14,68.06,84.39,22.42,51.0,0.0,1.42,0.77,0.64,0.8,0.0,0.73,6.76,5.0,1.92,3.42,10.2,0.0
2011-02-12,74.88,28.2,29.76,42.77,83.3,31.08,36.27,47.52,17.7,40.81,73.26,68.4,66.0,14.4,35.0,19.5,38.16,62.9,62.56,10.5,40.5,50.0,92.0,28.67,11.78,23.25,78.85,83.42,16.72,71.0,0.0,1.18,0.45,0.42,0.75,0.0,0.7000000000000001,5.46,2.1,0.96,2.7,9.48,0.0
2011-02-13,79.67999999999998,28.8,31.0,40.89,83.3,43.66,38.61,0.0,40.12,52.36,75.24,64.8,60.72000000000001,16.2,37.0,17.55,51.94000000000001,47.6,65.96000000000001,9.3,42.75,41.0,84.64,20.68,11.78,32.550000000000004,67.22999999999999,82.45,13.68,50.0,0.0,1.14,0.43,0.76,0.34,0.0,0.36,5.07,1.05,0.98,3.84,11.16,0.0
