date,The Home Depot
2012-02-11,15.77
2012-02-12,12.35
2012-02-13,14.06
2012-02-14,11.78
2012-02-15,12.35
2012-02-16,14.25
2012-02-17,16.34
2012-02-18,15.96
2012-02-19,15.39
2012-02-20,17.48
2012-02-21,17.1
2012-02-22,11.59
2012-02-23,11.4
2012-02-24,12.92
2012-02-25,19.0
2012-02-26,17.1
2012-02-27,15.96
2012-02-28,13.11
2012-02-29,15.2
2012-03-01,15.12
2012-03-02,14.7
2012-03-03,17.849999999999998
2012-03-04,17.43
2012-03-05,17.009999999999998
2012-03-06,13.65
2012-03-07,14.7
2012-03-08,12.389999999999999
2012-03-09,16.169999999999998
2012-03-10,13.86
2012-03-11,17.009999999999998
2012-03-12,14.28
2012-03-13,14.07
2012-03-14,15.33
2012-03-15,14.7
2012-03-16,10.92
2012-03-17,16.38
2012-03-18,21.0
2012-03-19,15.33
2012-03-20,15.33
2012-03-21,13.65
2012-03-22,15.12
2012-03-23,17.009999999999998
2012-03-24,15.75
2012-03-25,17.849999999999998
2012-03-26,15.959999999999999
2012-03-27,16.8
2012-03-28,12.6
2012-03-29,14.91
2012-03-30,13.86
2012-03-31,16.38
2012-04-01,19.95
2012-04-02,15.75
2012-04-03,11.969999999999999
2012-04-04,12.809999999999999
2012-04-05,10.709999999999999
2012-04-06,18.689999999999998
2012-04-07,15.959999999999999
2012-04-08,17.849999999999998
2012-04-09,13.229999999999999
2012-04-10,12.18
2012-04-11,11.969999999999999
2012-04-12,14.49
2012-04-13,14.49
2012-04-14,21.0
2012-04-15,18.689999999999998
2012-04-16,19.74
2012-04-17,12.18
2012-04-18,15.75
2012-04-19,14.49
2012-04-20,14.07
2012-04-21,16.169999999999998
2012-04-22,16.38
2012-04-23,18.689999999999998
2012-04-24,12.809999999999999
2012-04-25,13.44
2012-04-26,15.33
2012-04-27,13.229999999999999
2012-04-28,20.37
2012-04-29,20.58
2012-04-30,16.38
2012-05-01,11.270000000000001
2012-05-02,14.950000000000001
2012-05-03,15.180000000000001
2012-05-04,15.41
2012-05-05,15.180000000000001
2012-05-06,19.09
2012-05-07,16.1
2012-05-08,15.41
2012-05-09,14.72
2012-05-10,16.330000000000002
2012-05-11,18.400000000000002
2012-05-12,19.78
2012-05-13,17.25
2012-05-14,15.64
2012-05-15,17.25
2012-05-16,14.72
2012-05-17,15.41
2012-05-18,14.950000000000001
2012-05-19,21.85
2012-05-20,23.0
2012-05-21,19.32
2012-05-22,16.560000000000002
2012-05-23,16.79
2012-05-24,12.88
2012-05-25,16.1
2012-05-26,20.01
2012-05-27,18.400000000000002
2012-05-28,22.310000000000002
2012-05-29,16.560000000000002
2012-05-30,17.71
2012-05-31,15.180000000000001
2012-06-01,19.78
2012-06-02,23.0
2012-06-03,20.7
2012-06-04,20.93
2012-06-05,18.630000000000003
2012-06-06,16.330000000000002
2012-06-07,19.55
2012-06-08,15.41
2012-06-09,22.540000000000003
2012-06-10,22.540000000000003
2012-06-11,20.93
2012-06-12,19.78
2012-06-13,16.560000000000002
2012-06-14,15.870000000000001
2012-06-15,18.17
2012-06-16,21.62
2012-06-17,20.01
2012-06-18,20.93
2012-06-19,19.09
2012-06-20,18.86
2012-06-21,19.09
2012-06-22,18.86
2012-06-23,19.32
2012-06-24,20.93
2012-06-25,19.32
2012-06-26,18.630000000000003
2012-06-27,17.48
2012-06-28,17.71
2012-06-29,17.02
2012-06-30,20.93
2012-07-01,16.94
2012-07-02,14.74
2012-07-03,13.42
2012-07-04,22.0
2012-07-05,15.18
2012-07-06,14.96
2012-07-07,15.18
2012-07-08,16.06
2012-07-09,13.42
2012-07-10,13.64
2012-07-11,12.32
2012-07-12,12.1
2012-07-13,12.32
2012-07-14,16.28
2012-07-15,15.84
2012-07-16,14.08
2012-07-17,14.3
2012-07-18,11.88
2012-07-19,10.56
2012-07-20,12.540000000000001
2012-07-21,12.98
2012-07-22,18.26
2012-07-23,14.96
2012-07-24,13.2
