date,Cisco
2012-08-06,69.6
2012-08-07,74.82
2012-08-08,79.17
2012-08-09,77.42999999999999
2012-08-10,72.21
2012-08-11,33.06
2012-08-12,32.19
2012-08-13,73.95
2012-08-14,85.26
2012-08-15,85.26
2012-08-16,87.0
2012-08-17,80.04
2012-08-18,33.93
2012-08-19,45.24
2012-08-20,75.69
2012-08-21,76.56
2012-08-22,85.26
2012-08-23,81.78
2012-08-24,73.95
2012-08-25,40.89
2012-08-26,35.67
2012-08-27,73.95
2012-08-28,78.3
2012-08-29,79.17
2012-08-30,76.56
2012-08-31,65.25
2012-09-01,36.08
2012-09-02,32.8
2012-09-03,32.8
2012-09-04,72.16
2012-09-05,77.08
2012-09-06,78.72
2012-09-07,72.97999999999999
2012-09-08,36.9
2012-09-09,31.159999999999997
2012-09-10,69.7
2012-09-11,80.36
2012-09-12,77.08
2012-09-13,76.25999999999999
2012-09-14,73.8
2012-09-15,35.26
2012-09-16,31.979999999999997
2012-09-17,70.52
2012-09-18,79.53999999999999
2012-09-19,74.61999999999999
2012-09-20,77.08
2012-09-21,72.97999999999999
2012-09-22,36.9
2012-09-23,31.159999999999997
2012-09-24,73.8
2012-09-25,82.0
2012-09-26,82.0
2012-09-27,80.36
2012-09-28,71.33999999999999
2012-09-29,35.26
2012-09-30,31.159999999999997
2012-10-01,75.53
2012-10-02,78.02
2012-10-03,81.33999999999999
2012-10-04,73.86999999999999
2012-10-05,67.22999999999999
2012-10-06,34.03
2012-10-07,33.199999999999996
2012-10-08,68.89
2012-10-09,73.86999999999999
2012-10-10,78.02
2012-10-11,83.0
2012-10-12,66.39999999999999
2012-10-13,34.86
2012-10-14,29.88
2012-10-15,71.38
2012-10-16,75.53
2012-10-17,81.33999999999999
2012-10-18,75.53
2012-10-19,70.55
2012-10-20,39.839999999999996
2012-10-21,29.88
2012-10-22,69.72
2012-10-23,75.53
2012-10-24,73.86999999999999
2012-10-25,78.85
2012-10-26,65.57
2012-10-27,34.86
2012-10-28,31.54
2012-10-29,63.08
2012-10-30,67.22999999999999
2012-10-31,68.06
2012-11-01,70.84
2012-11-02,66.22
2012-11-03,31.57
2012-11-04,27.72
2012-11-05,68.53
2012-11-06,66.22
2012-11-07,57.75
2012-11-08,76.23
2012-11-09,66.99
2012-11-10,37.730000000000004
2012-11-11,33.11
2012-11-12,58.52
2012-11-13,77.0
2012-11-14,77.0
2012-11-15,70.07000000000001
2012-11-16,69.3
2012-11-17,31.57
2012-11-18,28.490000000000002
2012-11-19,71.61
2012-11-20,70.84
2012-11-21,54.67
2012-11-22,32.34
2012-11-23,38.5
2012-11-24,27.72
2012-11-25,30.8
2012-11-26,61.6
2012-11-27,66.99
2012-11-28,66.99
2012-11-29,66.22
2012-11-30,62.370000000000005
2012-12-01,30.36
2012-12-02,27.599999999999998
2012-12-03,60.72
2012-12-04,69.0
2012-12-05,65.55
2012-12-06,68.30999999999999
2012-12-07,64.17
2012-12-08,31.049999999999997
2012-12-09,26.909999999999997
2012-12-10,64.86
2012-12-11,65.55
2012-12-12,64.86
2012-12-13,66.24
2012-12-14,57.959999999999994
2012-12-15,28.29
2012-12-16,26.909999999999997
2012-12-17,57.269999999999996
2012-12-18,61.41
2012-12-19,64.17
2012-12-20,64.17
2012-12-21,48.989999999999995
2012-12-22,25.529999999999998
2012-12-23,24.839999999999996
2012-12-24,29.669999999999998
2012-12-25,29.669999999999998
2012-12-26,44.849999999999994
2012-12-27,49.67999999999999
2012-12-28,48.989999999999995
2012-12-29,28.29
2012-12-30,26.22
2012-12-31,37.949999999999996
2013-01-01,28.7
2013-01-02,62.31999999999999
2013-01-03,65.6
2013-01-04,71.33999999999999
2013-01-05,36.9
2013-01-06,31.159999999999997
2013-01-07,64.78
2013-01-08,74.61999999999999
2013-01-09,78.72
2013-01-10,74.61999999999999
2013-01-11,71.33999999999999
2013-01-12,36.08
2013-01-13,31.159999999999997
2013-01-14,69.7
2013-01-15,77.89999999999999
2013-01-16,77.08
2013-01-17,78.72
2013-01-18,78.72
2013-01-19,34.44
2013-01-20,33.62
2013-01-21,54.94
2013-01-22,70.52
2013-01-23,81.17999999999999
2013-01-24,78.72
2013-01-25,71.33999999999999
2013-01-26,37.72
2013-01-27,34.44
2013-01-28,67.24
2013-01-29,82.0
2013-01-30,76.25999999999999
2013-01-31,78.72
2013-02-01,78.02
2013-02-02,36.519999999999996
2013-02-03,34.03
2013-02-04,73.03999999999999
2013-02-05,80.50999999999999
2013-02-06,80.50999999999999
2013-02-07,78.85
2013-02-08,71.38
2013-02-09,40.669999999999995
2013-02-10,34.03
2013-02-11,69.72
2013-02-12,75.53
2013-02-13,76.36
2013-02-14,80.50999999999999
2013-02-15,67.22999999999999
2013-02-16,40.669999999999995
2013-02-17,31.54
2013-02-18,62.25
2013-02-19,73.03999999999999
2013-02-20,79.67999999999999
2013-02-21,74.7
2013-02-22,74.7
2013-02-23,36.519999999999996
2013-02-24,30.709999999999997
2013-02-25,68.89
2013-02-26,74.7
2013-02-27,83.0
2013-02-28,82.17
2013-03-01,67.2
2013-03-02,40.800000000000004
2013-03-03,32.0
2013-03-04,72.8
2013-03-05,73.60000000000001
2013-03-06,72.0
2013-03-07,74.4
2013-03-08,69.60000000000001
2013-03-09,32.800000000000004
2013-03-10,34.4
2013-03-11,72.0
2013-03-12,80.0
2013-03-13,72.0
2013-03-14,75.2
2013-03-15,70.4
2013-03-16,32.0
2013-03-17,31.200000000000003
2013-03-18,70.4
2013-03-19,74.4
2013-03-20,76.80000000000001
2013-03-21,73.60000000000001
2013-03-22,74.4
2013-03-23,32.800000000000004
2013-03-24,29.6
2013-03-25,67.2
2013-03-26,74.4
2013-03-27,76.80000000000001
2013-03-28,72.8
2013-03-29,58.400000000000006
2013-03-30,32.0
2013-03-31,27.200000000000003
2013-04-01,64.80000000000001
2013-04-02,73.71000000000001
2013-04-03,81.0
2013-04-04,73.71000000000001
2013-04-05,67.23
2013-04-06,32.400000000000006
2013-04-07,31.590000000000003
2013-04-08,68.85000000000001
2013-04-09,72.09
2013-04-10,74.52000000000001
2013-04-11,71.28
2013-04-12,63.18000000000001
2013-04-13,32.400000000000006
2013-04-14,29.160000000000004
2013-04-15,63.99
2013-04-16,63.99
2013-04-17,73.71000000000001
2013-04-18,68.85000000000001
2013-04-19,64.80000000000001
2013-04-20,31.590000000000003
2013-04-21,29.970000000000002
2013-04-22,68.85000000000001
2013-04-23,73.71000000000001
2013-04-24,76.14
2013-04-25,72.09
2013-04-26,65.61
2013-04-27,29.160000000000004
2013-04-28,31.590000000000003
2013-04-29,69.66000000000001
2013-04-30,69.66000000000001
2013-05-01,68.73
2013-05-02,70.31
2013-05-03,65.57000000000001
2013-05-04,30.810000000000002
2013-05-05,26.86
2013-05-06,67.15
2013-05-07,72.68
2013-05-08,62.410000000000004
2013-05-09,64.78
2013-05-10,66.36
2013-05-11,33.97
2013-05-12,26.86
2013-05-13,69.52000000000001
2013-05-14,74.26
2013-05-15,79.0
2013-05-16,75.05
2013-05-17,68.73
2013-05-18,30.020000000000003
2013-05-19,31.6
2013-05-20,63.99
2013-05-21,72.68
2013-05-22,71.89
2013-05-23,70.31
2013-05-24,61.620000000000005
2013-05-25,27.650000000000002
2013-05-26,29.23
2013-05-27,30.810000000000002
2013-05-28,67.94
2013-05-29,69.52000000000001
2013-05-30,71.89
2013-05-31,68.73
2013-06-01,31.200000000000003
2013-06-02,28.8
2013-06-03,69.60000000000001
2013-06-04,74.4
2013-06-05,80.0
2013-06-06,75.2
2013-06-07,68.0
2013-06-08,32.0
2013-06-09,27.200000000000003
2013-06-10,68.8
2013-06-11,76.0
2013-06-12,75.2
2013-06-13,74.4
2013-06-14,68.8
2013-06-15,28.8
2013-06-16,28.0
2013-06-17,62.400000000000006
2013-06-18,76.80000000000001
2013-06-19,76.0
2013-06-20,77.60000000000001
2013-06-21,69.60000000000001
2013-06-22,34.4
2013-06-23,31.200000000000003
2013-06-24,72.0
2013-06-25,79.2
2013-06-26,78.4
2013-06-27,74.4
2013-06-28,64.0
2013-06-29,30.400000000000002
2013-06-30,29.6
2013-07-01,62.400000000000006
2013-07-02,70.4
2013-07-03,64.0
2013-07-04,32.800000000000004
2013-07-05,45.6
2013-07-06,30.400000000000002
2013-07-07,25.6
2013-07-08,65.60000000000001
