date,Bank of America
2012-02-16,77.28
2012-02-17,84.0
2012-02-18,69.72
2012-02-19,52.08
2012-02-20,63.839999999999996
2012-02-21,74.75999999999999
2012-02-22,75.6
2012-02-23,70.56
2012-02-24,75.6
2012-02-25,68.88
2012-02-26,52.919999999999995
2012-02-27,68.88
2012-02-28,70.56
2012-02-29,72.24
2012-03-01,81.6
2012-03-02,85.0
2012-03-03,74.8
2012-03-04,56.949999999999996
2012-03-05,75.64999999999999
2012-03-06,73.95
2012-03-07,71.39999999999999
2012-03-08,68.0
2012-03-09,77.35
2012-03-10,74.8
2012-03-11,52.699999999999996
2012-03-12,73.95
2012-03-13,73.95
2012-03-14,73.95
2012-03-15,79.05
2012-03-16,82.45
2012-03-17,70.55
2012-03-18,56.949999999999996
2012-03-19,72.25
2012-03-20,73.1
2012-03-21,72.25
2012-03-22,68.85
2012-03-23,75.64999999999999
2012-03-24,66.3
2012-03-25,52.699999999999996
2012-03-26,68.85
2012-03-27,69.7
2012-03-28,68.85
2012-03-29,68.85
2012-03-30,82.45
2012-03-31,68.0
2012-04-01,54.27
2012-04-02,73.71000000000001
2012-04-03,70.47
2012-04-04,68.85000000000001
2012-04-05,71.28
2012-04-06,79.38000000000001
2012-04-07,64.80000000000001
2012-04-08,46.17
2012-04-09,68.04
2012-04-10,71.28
2012-04-11,68.04
2012-04-12,66.42
2012-04-13,77.76
2012-04-14,68.04
2012-04-15,53.46
2012-04-16,72.09
2012-04-17,71.28
2012-04-18,68.04
2012-04-19,65.61
2012-04-20,74.52000000000001
2012-04-21,64.80000000000001
2012-04-22,46.980000000000004
2012-04-23,63.99
2012-04-24,64.80000000000001
2012-04-25,65.61
2012-04-26,64.80000000000001
2012-04-27,81.0
2012-04-28,65.61
2012-04-29,48.6
2012-04-30,73.71000000000001
2012-05-01,81.0
2012-05-02,72.9
2012-05-03,73.71000000000001
2012-05-04,79.38000000000001
2012-05-05,68.85000000000001
2012-05-06,51.03
2012-05-07,72.9
2012-05-08,73.71000000000001
2012-05-09,72.09
2012-05-10,74.52000000000001
2012-05-11,79.38000000000001
2012-05-12,67.23
2012-05-13,48.6
2012-05-14,72.9
2012-05-15,81.0
2012-05-16,79.38000000000001
2012-05-17,72.9
2012-05-18,76.95
2012-05-19,67.23
2012-05-20,53.46
2012-05-21,71.28
2012-05-22,71.28
2012-05-23,68.85000000000001
2012-05-24,71.28
2012-05-25,79.38000000000001
2012-05-26,67.23
2012-05-27,49.410000000000004
2012-05-28,51.03
2012-05-29,75.33
2012-05-30,75.33
2012-05-31,81.0
2012-06-01,85.0
2012-06-02,72.25
2012-06-03,54.4
2012-06-04,73.1
2012-06-05,73.1
2012-06-06,68.0
2012-06-07,70.55
2012-06-08,80.75
2012-06-09,66.3
2012-06-10,48.449999999999996
2012-06-11,72.25
2012-06-12,70.55
2012-06-13,69.7
2012-06-14,71.39999999999999
2012-06-15,84.14999999999999
2012-06-16,68.0
2012-06-17,48.449999999999996
2012-06-18,72.25
2012-06-19,73.1
2012-06-20,70.55
2012-06-21,70.55
2012-06-22,79.05
2012-06-23,67.14999999999999
2012-06-24,52.699999999999996
2012-06-25,69.7
2012-06-26,68.0
2012-06-27,67.14999999999999
2012-06-28,69.7
2012-06-29,80.75
2012-06-30,65.45
2012-07-01,53.12
2012-07-02,74.7
2012-07-03,74.7
2012-07-04,54.779999999999994
2012-07-05,75.53
2012-07-06,83.0
2012-07-07,66.39999999999999
2012-07-08,48.97
2012-07-09,70.55
2012-07-10,70.55
2012-07-11,68.06
2012-07-12,68.89
2012-07-13,78.85
2012-07-14,67.22999999999999
2012-07-15,51.46
2012-07-16,70.55
2012-07-17,71.38
2012-07-18,68.06
2012-07-19,69.72
2012-07-20,75.53
2012-07-21,63.08
2012-07-22,50.629999999999995
2012-07-23,68.06
2012-07-24,66.39999999999999
2012-07-25,66.39999999999999
2012-07-26,66.39999999999999
2012-07-27,73.03999999999999
2012-07-28,62.25
2012-07-29,48.97
2012-07-30,69.72
2012-07-31,75.53
2012-08-01,76.53999999999999
2012-08-02,74.82
2012-08-03,80.84
2012-08-04,69.66
2012-08-05,49.88
2012-08-06,69.66
2012-08-07,70.52
2012-08-08,67.08
2012-08-09,67.94
2012-08-10,73.1
2012-08-11,62.78
2012-08-12,49.019999999999996
2012-08-13,70.52
2012-08-14,71.38
2012-08-15,77.4
2012-08-16,76.53999999999999
2012-08-17,78.26
2012-08-18,67.94
2012-08-19,51.6
2012-08-20,69.66
2012-08-21,71.38
2012-08-22,69.66
2012-08-23,65.36
2012-08-24,77.4
2012-08-25,61.92
2012-08-26,51.6
2012-08-27,70.52
2012-08-28,70.52
2012-08-29,69.66
2012-08-30,70.52
2012-08-31,86.0
2012-09-01,60.48
2012-09-02,42.0
2012-09-03,45.36
2012-09-04,64.67999999999999
2012-09-05,64.67999999999999
2012-09-06,62.16
2012-09-07,67.2
2012-09-08,51.239999999999995
2012-09-09,40.32
2012-09-10,58.8
2012-09-11,53.76
2012-09-12,55.44
2012-09-13,56.28
2012-09-14,67.2
2012-09-15,57.12
2012-09-16,39.48
2012-09-17,57.12
2012-09-18,84.0
2012-09-19,67.2
2012-09-20,57.12
2012-09-21,63.0
2012-09-22,52.08
2012-09-23,39.48
2012-09-24,55.44
2012-09-25,56.28
2012-09-26,52.919999999999995
2012-09-27,55.44
2012-09-28,67.2
2012-09-29,53.76
2012-09-30,43.68
2012-10-01,76.80000000000001
2012-10-02,72.0
2012-10-03,68.8
2012-10-04,68.0
2012-10-05,80.0
2012-10-06,64.8
2012-10-07,48.0
2012-10-08,65.60000000000001
2012-10-09,69.60000000000001
2012-10-10,69.60000000000001
2012-10-11,69.60000000000001
2012-10-12,76.0
2012-10-13,64.0
2012-10-14,48.0
2012-10-15,71.2
2012-10-16,67.2
2012-10-17,66.4
2012-10-18,64.0
2012-10-19,72.0
2012-10-20,61.6
2012-10-21,47.2
2012-10-22,64.0
2012-10-23,61.6
2012-10-24,64.0
2012-10-25,65.60000000000001
2012-10-26,72.8
2012-10-27,57.6
2012-10-28,44.0
2012-10-29,59.2
2012-10-30,60.0
2012-10-31,67.2
2012-11-01,76.80000000000001
2012-11-02,77.60000000000001
2012-11-03,64.0
2012-11-04,45.6
2012-11-05,66.4
2012-11-06,62.400000000000006
2012-11-07,54.400000000000006
2012-11-08,69.60000000000001
2012-11-09,72.8
2012-11-10,61.6
2012-11-11,47.2
2012-11-12,59.2
2012-11-13,65.60000000000001
2012-11-14,72.0
2012-11-15,72.8
2012-11-16,76.0
2012-11-17,63.2
2012-11-18,46.400000000000006
2012-11-19,64.8
2012-11-20,67.2
2012-11-21,74.4
2012-11-22,44.800000000000004
2012-11-23,64.8
2012-11-24,60.0
2012-11-25,46.400000000000006
2012-11-26,63.2
2012-11-27,64.8
2012-11-28,61.6
2012-11-29,63.2
2012-11-30,80.0
2012-12-01,74.82
2012-12-02,52.46
2012-12-03,73.96
2012-12-04,74.82
2012-12-05,71.38
2012-12-06,70.52
2012-12-07,78.26
2012-12-08,66.22
2012-12-09,49.019999999999996
2012-12-10,73.96
2012-12-11,82.56
2012-12-12,80.84
2012-12-13,77.4
2012-12-14,80.84
2012-12-15,77.4
2012-12-16,50.74
2012-12-17,71.38
2012-12-18,70.52
2012-12-19,70.52
2012-12-20,72.24
2012-12-21,78.26
2012-12-22,69.66
2012-12-23,51.6
2012-12-24,67.94
2012-12-25,39.56
2012-12-26,71.38
2012-12-27,86.0
2012-12-28,85.14
2012-12-29,68.8
2012-12-30,49.88
2012-12-31,73.1
2013-01-01,56.58
2013-01-02,81.17999999999999
2013-01-03,77.89999999999999
2013-01-04,82.0
2013-01-05,68.88
2013-01-06,50.019999999999996
2013-01-07,71.33999999999999
2013-01-08,71.33999999999999
2013-01-09,67.24
2013-01-10,67.24
2013-01-11,74.61999999999999
2013-01-12,62.31999999999999
2013-01-13,46.739999999999995
2013-01-14,68.06
2013-01-15,74.61999999999999
2013-01-16,75.44
2013-01-17,70.52
2013-01-18,76.25999999999999
2013-01-19,65.6
2013-01-20,45.919999999999995
2013-01-21,56.58
2013-01-22,68.06
2013-01-23,67.24
2013-01-24,68.88
2013-01-25,74.61999999999999
2013-01-26,61.49999999999999
2013-01-27,45.919999999999995
2013-01-28,66.42
2013-01-29,65.6
2013-01-30,64.78
2013-01-31,72.97999999999999
2013-02-01,85.0
2013-02-02,62.9
2013-02-03,37.4
2013-02-04,51.0
2013-02-05,52.699999999999996
2013-02-06,48.449999999999996
2013-02-07,50.15
2013-02-08,54.4
2013-02-09,45.05
2013-02-10,35.699999999999996
2013-02-11,45.05
2013-02-12,47.6
2013-02-13,48.449999999999996
2013-02-14,49.3
2013-02-15,57.8
2013-02-16,49.3
2013-02-17,34.85
2013-02-18,41.65
2013-02-19,48.449999999999996
2013-02-20,51.0
2013-02-21,48.449999999999996
2013-02-22,51.85
2013-02-23,44.199999999999996
2013-02-24,32.3
2013-02-25,44.199999999999996
2013-02-26,46.75
2013-02-27,46.75
2013-02-28,51.85
2013-03-01,79.0
2013-03-02,63.99
2013-03-03,46.61
2013-03-04,65.57000000000001
2013-03-05,66.36
2013-03-06,61.620000000000005
2013-03-07,62.410000000000004
2013-03-08,67.94
2013-03-09,59.25
2013-03-10,42.660000000000004
2013-03-11,60.830000000000005
2013-03-12,60.040000000000006
2013-03-13,60.830000000000005
2013-03-14,63.99
2013-03-15,75.84
2013-03-16,62.410000000000004
2013-03-17,44.24
2013-03-18,59.25
2013-03-19,59.25
2013-03-20,58.46
2013-03-21,61.620000000000005
2013-03-22,66.36
2013-03-23,55.300000000000004
2013-03-24,43.45
2013-03-25,59.25
2013-03-26,60.040000000000006
2013-03-27,63.2
2013-03-28,69.52000000000001
2013-03-29,74.26
2013-03-30,59.25
2013-03-31,41.08
2013-04-01,77.42
2013-04-02,73.47
2013-04-03,71.10000000000001
2013-04-04,69.52000000000001
2013-04-05,76.63000000000001
2013-04-06,63.2
2013-04-07,50.56
2013-04-08,67.94
2013-04-09,69.52000000000001
2013-04-10,67.94
2013-04-11,68.73
2013-04-12,79.0
2013-04-13,66.36
2013-04-14,51.35
2013-04-15,72.68
2013-04-16,69.52000000000001
2013-04-17,66.36
2013-04-18,61.620000000000005
2013-04-19,67.94
2013-04-20,60.040000000000006
2013-04-21,45.82
2013-04-22,65.57000000000001
2013-04-23,63.99
