date,EDD
2012-07-20,17.28
2012-07-21,13.2
2012-07-22,15.6
2012-07-23,24.0
2012-07-24,19.439999999999998
2012-07-25,19.2
2012-07-26,18.96
2012-07-27,19.2
2012-07-28,14.399999999999999
2012-07-29,17.52
2012-07-30,23.04
2012-07-31,21.36
2012-08-01,19.09
2012-08-02,15.41
2012-08-03,18.400000000000002
2012-08-04,11.270000000000001
2012-08-05,14.030000000000001
2012-08-06,18.86
2012-08-07,18.400000000000002
2012-08-08,19.32
2012-08-09,16.1
2012-08-10,14.030000000000001
2012-08-11,10.58
2012-08-12,13.57
2012-08-13,19.55
2012-08-14,18.400000000000002
2012-08-15,18.630000000000003
2012-08-16,16.79
2012-08-17,17.48
2012-08-18,12.88
2012-08-19,12.42
2012-08-20,20.470000000000002
2012-08-21,19.78
2012-08-22,18.17
2012-08-23,16.560000000000002
2012-08-24,14.72
2012-08-25,12.42
2012-08-26,12.88
2012-08-27,17.71
2012-08-28,23.0
2012-08-29,18.86
2012-08-30,16.1
2012-08-31,16.560000000000002
2012-09-01,11.600000000000001
2012-09-02,12.8
2012-09-03,11.600000000000001
2012-09-04,18.6
2012-09-05,20.0
2012-09-06,17.8
2012-09-07,14.8
2012-09-08,11.4
2012-09-09,11.200000000000001
2012-09-10,18.6
2012-09-11,17.400000000000002
2012-09-12,16.0
2012-09-13,18.400000000000002
2012-09-14,15.0
2012-09-15,12.0
2012-09-16,11.4
2012-09-17,18.2
2012-09-18,18.8
2012-09-19,15.4
2012-09-20,16.6
2012-09-21,14.200000000000001
2012-09-22,11.0
2012-09-23,12.200000000000001
2012-09-24,18.2
2012-09-25,16.8
2012-09-26,18.0
2012-09-27,14.8
2012-09-28,14.600000000000001
2012-09-29,12.0
2012-09-30,12.4
2012-10-01,19.32
2012-10-02,17.64
2012-10-03,16.59
2012-10-04,16.8
2012-10-05,16.8
2012-10-06,12.18
2012-10-07,13.44
2012-10-08,19.32
2012-10-09,16.8
2012-10-10,19.529999999999998
2012-10-11,16.38
2012-10-12,16.59
2012-10-13,13.229999999999999
2012-10-14,13.229999999999999
2012-10-15,18.9
2012-10-16,20.37
2012-10-17,19.95
2012-10-18,18.06
2012-10-19,15.54
2012-10-20,12.18
2012-10-21,13.44
2012-10-22,21.0
2012-10-23,18.27
2012-10-24,17.009999999999998
2012-10-25,17.43
2012-10-26,17.22
2012-10-27,12.389999999999999
2012-10-28,14.07
2012-10-29,17.849999999999998
2012-10-30,18.689999999999998
2012-10-31,16.8
2012-11-01,18.04
