date,Comcast
2012-06-14,60.800000000000004
2012-06-15,65.60000000000001
2012-06-16,64.8
2012-06-17,61.6
2012-06-18,72.0
2012-06-19,64.8
2012-06-20,65.60000000000001
2012-06-21,60.0
2012-06-22,65.60000000000001
2012-06-23,68.0
2012-06-24,60.0
2012-06-25,63.2
2012-06-26,67.2
2012-06-27,66.4
2012-06-28,60.800000000000004
2012-06-29,65.60000000000001
2012-06-30,80.0
2012-07-01,69.72
2012-07-02,76.44
2012-07-03,71.39999999999999
2012-07-04,56.28
2012-07-05,67.2
2012-07-06,72.24
2012-07-07,66.36
2012-07-08,62.16
2012-07-09,73.08
2012-07-10,71.39999999999999
2012-07-11,66.36
2012-07-12,66.36
2012-07-13,71.39999999999999
2012-07-14,69.72
2012-07-15,60.48
2012-07-16,74.75999999999999
2012-07-17,72.24
2012-07-18,69.72
2012-07-19,68.88
2012-07-20,68.88
2012-07-21,64.67999999999999
2012-07-22,60.48
2012-07-23,74.75999999999999
2012-07-24,67.2
2012-07-25,68.88
2012-07-26,71.39999999999999
2012-07-27,84.0
2012-07-28,80.64
2012-07-29,69.72
2012-07-30,73.92
2012-07-31,74.75999999999999
2012-08-01,81.84
2012-08-02,80.08
2012-08-03,81.84
2012-08-04,76.56
2012-08-05,73.92
2012-08-06,85.36
2012-08-07,78.32000000000001
2012-08-08,73.92
2012-08-09,83.6
2012-08-10,80.08
2012-08-11,77.44
2012-08-12,73.04
2012-08-13,86.24
2012-08-14,88.0
2012-08-15,80.96
2012-08-16,80.08
2012-08-17,80.96
2012-08-18,80.08
2012-08-19,77.44
2012-08-20,84.48
2012-08-21,80.96
2012-08-22,81.84
2012-08-23,80.08
2012-08-24,80.96
2012-08-25,85.36
2012-08-26,76.56
2012-08-27,83.6
2012-08-28,80.96
2012-08-29,76.56
2012-08-30,80.08
2012-08-31,88.0
2012-09-01,82.32
2012-09-02,64.67999999999999
2012-09-03,57.96
2012-09-04,71.39999999999999
2012-09-05,68.03999999999999
2012-09-06,67.2
2012-09-07,72.24
2012-09-08,84.0
2012-09-09,73.08
2012-09-10,70.56
2012-09-11,64.67999999999999
2012-09-12,64.67999999999999
2012-09-13,63.0
2012-09-14,62.16
2012-09-15,71.39999999999999
2012-09-16,66.36
2012-09-17,67.2
2012-09-18,64.67999999999999
2012-09-19,52.08
2012-09-20,61.32
2012-09-21,66.36
2012-09-22,68.88
2012-09-23,54.6
2012-09-24,65.52
2012-09-25,61.32
2012-09-26,59.64
2012-09-27,62.16
2012-09-28,65.52
2012-09-29,71.39999999999999
2012-09-30,64.67999999999999
2012-10-01,66.4
2012-10-02,67.2
2012-10-03,66.4
2012-10-04,68.0
2012-10-05,71.2
2012-10-06,75.2
2012-10-07,70.4
2012-10-08,67.2
2012-10-09,61.6
2012-10-10,69.60000000000001
2012-10-11,68.0
2012-10-12,64.8
2012-10-13,72.8
2012-10-14,68.8
2012-10-15,71.2
2012-10-16,66.4
2012-10-17,64.0
2012-10-18,62.400000000000006
2012-10-19,60.0
2012-10-20,72.8
2012-10-21,60.0
2012-10-22,61.6
2012-10-23,60.0
2012-10-24,60.0
2012-10-25,60.800000000000004
2012-10-26,60.800000000000004
2012-10-27,65.60000000000001
2012-10-28,59.2
2012-10-29,64.8
2012-10-30,80.0
2012-10-31,69.60000000000001
2012-11-01,71.10000000000001
2012-11-02,76.63000000000001
2012-11-03,75.84
2012-11-04,63.2
2012-11-05,67.94
2012-11-06,64.78
2012-11-07,57.67
2012-11-08,61.620000000000005
2012-11-09,67.94
2012-11-10,69.52000000000001
2012-11-11,62.410000000000004
2012-11-12,68.73
2012-11-13,63.2
2012-11-14,61.620000000000005
2012-11-15,68.73
2012-11-16,69.52000000000001
2012-11-17,74.26
2012-11-18,62.410000000000004
2012-11-19,65.57000000000001
2012-11-20,65.57000000000001
2012-11-21,64.78
2012-11-22,60.040000000000006
2012-11-23,68.73
2012-11-24,79.0
2012-11-25,67.15
2012-11-26,71.89
2012-11-27,63.99
2012-11-28,63.99
2012-11-29,64.78
2012-11-30,69.52000000000001
2012-12-01,67.64
2012-12-02,58.52
2012-12-03,60.04
2012-12-04,58.52
2012-12-05,59.28
2012-12-06,54.72
2012-12-07,59.28
2012-12-08,64.6
2012-12-09,57.0
2012-12-10,58.52
2012-12-11,59.28
2012-12-12,57.0
2012-12-13,56.24
2012-12-14,54.72
2012-12-15,58.52
2012-12-16,53.2
2012-12-17,62.32
2012-12-18,57.76
2012-12-19,56.24
2012-12-20,58.52
2012-12-21,58.52
2012-12-22,63.08
2012-12-23,57.0
2012-12-24,55.480000000000004
2012-12-25,60.8
2012-12-26,76.0
2012-12-27,73.72
2012-12-28,73.72
2012-12-29,72.96000000000001
2012-12-30,63.08
2012-12-31,65.36
2013-01-01,58.8
2013-01-02,73.92
2013-01-03,72.24
2013-01-04,84.0
2013-01-05,77.28
2013-01-06,62.16
2013-01-07,73.92
2013-01-08,73.92
2013-01-09,66.36
2013-01-10,62.16
2013-01-11,65.52
2013-01-12,71.39999999999999
2013-01-13,61.32
2013-01-14,67.2
2013-01-15,67.2
2013-01-16,66.36
2013-01-17,65.52
2013-01-18,72.24
2013-01-19,71.39999999999999
2013-01-20,63.839999999999996
2013-01-21,69.72
2013-01-22,66.36
2013-01-23,65.52
2013-01-24,63.839999999999996
2013-01-25,61.32
2013-01-26,64.67999999999999
2013-01-27,61.32
2013-01-28,67.2
2013-01-29,68.03999999999999
2013-01-30,67.2
2013-01-31,63.839999999999996
2013-02-01,69.16
2013-02-02,76.0
2013-02-03,67.64
2013-02-04,61.56
2013-02-05,66.88
2013-02-06,67.64
2013-02-07,64.6
2013-02-08,64.6
2013-02-09,69.16
2013-02-10,66.12
2013-02-11,69.16
2013-02-12,65.36
2013-02-13,65.36
2013-02-14,63.08
2013-02-15,69.16
2013-02-16,73.72
2013-02-17,68.4
2013-02-18,70.68
2013-02-19,65.36
2013-02-20,68.4
2013-02-21,65.36
2013-02-22,63.84
2013-02-23,69.92
2013-02-24,63.84
2013-02-25,64.6
2013-02-26,68.4
2013-02-27,67.64
2013-02-28,69.16
2013-03-01,74.4
2013-03-02,76.80000000000001
2013-03-03,68.0
2013-03-04,72.8
2013-03-05,68.8
2013-03-06,72.8
2013-03-07,61.6
2013-03-08,71.2
2013-03-09,76.0
2013-03-10,68.8
2013-03-11,68.0
2013-03-12,68.8
2013-03-13,60.0
2013-03-14,71.2
2013-03-15,73.60000000000001
2013-03-16,75.2
2013-03-17,64.8
2013-03-18,72.0
2013-03-19,73.60000000000001
2013-03-20,71.2
2013-03-21,75.2
2013-03-22,80.0
2013-03-23,76.80000000000001
2013-03-24,64.0
2013-03-25,72.8
2013-03-26,76.0
2013-03-27,71.2
2013-03-28,73.60000000000001
2013-03-29,76.80000000000001
2013-03-30,73.60000000000001
2013-03-31,64.8
2013-04-01,77.0
2013-04-02,75.46000000000001
2013-04-03,70.07000000000001
2013-04-04,71.61
2013-04-05,70.07000000000001
2013-04-06,70.84
2013-04-07,62.370000000000005
