date,Intel
2011-12-04,72.16
2011-12-05,64.78
2011-12-06,69.7
2011-12-07,72.16
2011-12-08,72.16
2011-12-09,76.25999999999999
2011-12-10,66.42
2011-12-11,64.78
2011-12-12,72.97999999999999
2011-12-13,72.16
2011-12-14,69.7
2011-12-15,68.88
2011-12-16,69.7
2011-12-17,72.16
2011-12-18,76.25999999999999
2011-12-19,63.959999999999994
2011-12-20,73.8
2011-12-21,82.0
2011-12-22,74.61999999999999
2011-12-23,63.13999999999999
2011-12-24,64.78
2011-12-25,70.52
2011-12-26,77.08
2011-12-27,81.17999999999999
2011-12-28,77.89999999999999
2011-12-29,67.24
2011-12-30,73.8
2011-12-31,66.42
2012-01-01,59.940000000000005
2012-01-02,63.18000000000001
2012-01-03,70.47
2012-01-04,69.66000000000001
2012-01-05,66.42
2012-01-06,60.75000000000001
2012-01-07,56.7
2012-01-08,58.32000000000001
2012-01-09,63.99
2012-01-10,71.28
2012-01-11,81.0
2012-01-12,77.76
2012-01-13,73.71000000000001
2012-01-14,68.04
2012-01-15,59.940000000000005
2012-01-16,64.80000000000001
2012-01-17,63.99
2012-01-18,63.99
2012-01-19,72.9
2012-01-20,71.28
2012-01-21,65.61
2012-01-22,65.61
2012-01-23,62.370000000000005
2012-01-24,70.47
2012-01-25,76.14
2012-01-26,71.28
2012-01-27,67.23
2012-01-28,63.99
2012-01-29,64.80000000000001
2012-01-30,62.370000000000005
2012-01-31,63.99
2012-02-01,68.25
2012-02-02,72.0
2012-02-03,72.0
2012-02-04,65.25
2012-02-05,58.5
2012-02-06,64.5
2012-02-07,69.0
2012-02-08,68.25
2012-02-09,68.25
2012-02-10,75.0
2012-02-11,63.0
2012-02-12,56.25
2012-02-13,62.25
2012-02-14,70.5
2012-02-15,68.25
2012-02-16,69.75
2012-02-17,69.75
2012-02-18,67.5
2012-02-19,63.75
2012-02-20,66.0
2012-02-21,69.0
2012-02-22,69.75
2012-02-23,65.25
2012-02-24,66.75
2012-02-25,59.25
2012-02-26,62.25
2012-02-27,63.0
2012-02-28,72.0
2012-02-29,69.75
2012-03-01,72.0
2012-03-02,72.0
2012-03-03,66.96
2012-03-04,69.84
2012-03-05,66.24
2012-03-06,69.84
2012-03-07,65.52
2012-03-08,69.12
2012-03-09,64.08
2012-03-10,64.08
2012-03-11,56.879999999999995
2012-03-12,62.64
2012-03-13,66.96
2012-03-14,70.56
2012-03-15,60.48
2012-03-16,59.04
2012-03-17,63.36
2012-03-18,54.72
2012-03-19,62.64
2012-03-20,64.08
2012-03-21,65.52
2012-03-22,61.919999999999995
2012-03-23,63.36
2012-03-24,55.44
2012-03-25,55.44
2012-03-26,64.8
2012-03-27,61.919999999999995
2012-03-28,61.919999999999995
2012-03-29,61.919999999999995
2012-03-30,59.76
2012-03-31,53.28
2012-04-01,51.12
2012-04-02,53.28
2012-04-03,61.919999999999995
2012-04-04,60.48
2012-04-05,54.0
2012-04-06,54.72
2012-04-07,48.96
2012-04-08,46.8
2012-04-09,59.04
2012-04-10,56.16
2012-04-11,56.16
2012-04-12,60.48
2012-04-13,56.16
2012-04-14,52.559999999999995
2012-04-15,52.559999999999995
2012-04-16,54.72
2012-04-17,64.08
2012-04-18,64.8
2012-04-19,59.76
2012-04-20,61.919999999999995
2012-04-21,51.12
2012-04-22,53.28
2012-04-23,72.0
2012-04-24,64.08
2012-04-25,59.76
2012-04-26,59.76
2012-04-27,56.879999999999995
2012-04-28,57.599999999999994
2012-04-29,64.8
2012-04-30,68.39999999999999
2012-05-01,61.56
2012-05-02,60.04
2012-05-03,63.84
2012-05-04,58.52
2012-05-05,50.92
2012-05-06,51.68
2012-05-07,56.24
2012-05-08,60.8
2012-05-09,60.04
2012-05-10,59.28
