date,UnitedHealth Group
2012-01-17,32.5
2012-01-18,52.0
2012-01-19,33.15
2012-01-20,33.15
2012-01-21,7.800000000000001
2012-01-22,7.800000000000001
2012-01-23,31.85
2012-01-24,31.85
2012-01-25,45.5
2012-01-26,65.0
2012-01-27,33.800000000000004
2012-01-28,0.0
2012-01-29,7.800000000000001
2012-01-30,38.35
2012-01-31,13.0
2012-02-01,45.080000000000005
2012-02-02,58.88
2012-02-03,80.96000000000001
2012-02-04,16.560000000000002
2012-02-05,32.2
2012-02-06,92.0
2012-02-07,64.4
2012-02-08,32.2
2012-02-09,91.08
2012-02-10,67.16
2012-02-11,86.48
2012-02-12,14.72
2012-02-13,44.160000000000004
2012-02-14,77.28
2012-02-15,66.24000000000001
2012-02-16,45.080000000000005
2012-02-17,26.68
2012-02-18,15.64
2012-02-19,23.92
2012-02-20,13.8
2012-02-21,51.52
2012-02-22,32.2
2012-02-23,52.440000000000005
2012-02-24,26.68
2012-02-25,47.84
2012-02-26,32.2
2012-02-27,51.52
2012-02-28,82.8
2012-02-29,63.480000000000004
2012-03-01,85.0
2012-03-02,55.25
2012-03-03,17.0
2012-03-04,33.15
2012-03-05,45.9
2012-03-06,73.95
2012-03-07,18.7
2012-03-08,30.599999999999998
2012-03-09,51.0
2012-03-10,22.95
2012-03-11,22.95
2012-03-12,62.05
2012-03-13,31.45
2012-03-14,49.3
2012-03-15,18.7
2012-03-16,51.85
2012-03-17,62.9
2012-03-18,16.15
2012-03-19,37.4
2012-03-20,36.55
2012-03-21,68.0
2012-03-22,44.199999999999996
2012-03-23,32.3
2012-03-24,22.95
2012-03-25,15.299999999999999
2012-03-26,61.199999999999996
2012-03-27,68.0
2012-03-28,43.35
2012-03-29,24.65
2012-03-30,45.9
2012-03-31,14.45
2012-04-01,30.0
2012-04-02,36.6
2012-04-03,60.0
2012-04-04,42.6
2012-04-05,37.199999999999996
2012-04-06,26.4
2012-04-07,47.4
2012-04-08,0.0
2012-04-09,28.799999999999997
2012-04-10,58.199999999999996
2012-04-11,53.4
2012-04-12,30.0
2012-04-13,31.2
2012-04-14,15.0
2012-04-15,30.0
2012-04-16,24.0
2012-04-17,34.8
2012-04-18,29.4
2012-04-19,36.0
2012-04-20,37.8
2012-04-21,30.599999999999998
2012-04-22,22.2
2012-04-23,23.4
2012-04-24,29.4
2012-04-25,47.4
2012-04-26,41.4
2012-04-27,24.599999999999998
2012-04-28,30.0
2012-04-29,0.0
2012-04-30,29.4
2012-05-01,42.120000000000005
2012-05-02,21.060000000000002
2012-05-03,32.400000000000006
2012-05-04,22.14
2012-05-05,13.5
2012-05-06,0.0
2012-05-07,42.660000000000004
2012-05-08,31.32
2012-05-09,10.260000000000002
2012-05-10,10.8
2012-05-11,23.220000000000002
2012-05-12,0.0
2012-05-13,14.580000000000002
2012-05-14,54.0
