date,Microsoft
2012-05-21,62.99999999999999
2012-05-22,67.19999999999999
2012-05-23,63.699999999999996
2012-05-24,62.3
2012-05-25,56.0
2012-05-26,42.0
2012-05-27,41.3
2012-05-28,46.199999999999996
2012-05-29,56.0
2012-05-30,63.699999999999996
2012-05-31,63.699999999999996
2012-06-01,30.42
2012-06-02,22.62
2012-06-03,23.400000000000002
2012-06-04,36.660000000000004
2012-06-05,35.1
2012-06-06,34.32
2012-06-07,32.76
2012-06-08,29.64
2012-06-09,22.62
2012-06-10,22.62
2012-06-11,31.200000000000003
2012-06-12,33.54
2012-06-13,31.98
2012-06-14,32.76
2012-06-15,31.200000000000003
2012-06-16,22.62
2012-06-17,23.400000000000002
2012-06-18,49.92
2012-06-19,78.0
2012-06-20,48.36
2012-06-21,41.34
2012-06-22,35.88
2012-06-23,26.52
2012-06-24,26.52
2012-06-25,33.54
2012-06-26,35.88
2012-06-27,34.32
2012-06-28,34.32
2012-06-29,28.86
2012-06-30,24.18
2012-07-01,44.88
2012-07-02,58.480000000000004
2012-07-03,58.480000000000004
2012-07-04,44.2
2012-07-05,56.440000000000005
2012-07-06,60.52
2012-07-07,46.24
2012-07-08,48.96
2012-07-09,61.88
2012-07-10,63.24
2012-07-11,65.28
2012-07-12,64.60000000000001
2012-07-13,57.800000000000004
2012-07-14,46.24
2012-07-15,48.28
2012-07-16,65.96000000000001
2012-07-17,68.0
2012-07-18,65.96000000000001
2012-07-19,65.28
2012-07-20,58.480000000000004
2012-07-21,45.56
2012-07-22,45.56
2012-07-23,61.2
2012-07-24,63.92
2012-07-25,60.52
2012-07-26,65.28
2012-07-27,59.160000000000004
2012-07-28,41.480000000000004
2012-07-29,45.56
2012-07-30,63.24
2012-07-31,63.92
2012-08-01,58.52
2012-08-02,59.28
2012-08-03,53.2
2012-08-04,43.32
2012-08-05,41.8
2012-08-06,55.480000000000004
2012-08-07,57.0
2012-08-08,59.28
2012-08-09,57.76
2012-08-10,53.96
2012-08-11,44.84
2012-08-12,44.08
2012-08-13,58.52
2012-08-14,63.08
2012-08-15,62.32
2012-08-16,65.36
2012-08-17,56.24
2012-08-18,47.88
2012-08-19,49.4
2012-08-20,62.32
2012-08-21,67.64
2012-08-22,66.12
2012-08-23,76.0
2012-08-24,69.16
2012-08-25,52.44
2012-08-26,53.2
2012-08-27,65.36
2012-08-28,70.68
2012-08-29,68.4
2012-08-30,68.4
2012-08-31,60.04
2012-09-01,50.050000000000004
2012-09-02,50.050000000000004
2012-09-03,56.21
2012-09-04,70.84
2012-09-05,76.23
2012-09-06,75.46000000000001
2012-09-07,67.76
2012-09-08,51.59
2012-09-09,57.75
2012-09-10,71.61
2012-09-11,75.46000000000001
2012-09-12,73.92
2012-09-13,72.38
2012-09-14,65.45
2012-09-15,49.28
2012-09-16,54.67
2012-09-17,69.3
2012-09-18,77.0
2012-09-19,76.23
2012-09-20,72.38
2012-09-21,66.99
2012-09-22,53.13
2012-09-23,53.9
2012-09-24,69.3
2012-09-25,70.07000000000001
2012-09-26,70.07000000000001
2012-09-27,71.61
2012-09-28,64.68
2012-09-29,47.74
2012-09-30,53.13
2012-10-01,63.91
2012-10-02,67.22999999999999
2012-10-03,67.22999999999999
2012-10-04,62.25
2012-10-05,58.099999999999994
2012-10-06,46.48
2012-10-07,45.65
2012-10-08,61.419999999999995
2012-10-09,64.74
2012-10-10,66.39999999999999
2012-10-11,63.91
2012-10-12,59.76
2012-10-13,46.48
2012-10-14,46.48
2012-10-15,62.25
2012-10-16,79.67999999999999
2012-10-17,74.7
2012-10-18,68.89
2012-10-19,65.57
2012-10-20,52.29
2012-10-21,54.779999999999994
2012-10-22,71.38
2012-10-23,73.03999999999999
