date,Verizon
2012-02-16,57.04
2012-02-17,62.0
2012-02-18,58.9
2012-02-19,55.8
2012-02-20,55.8
2012-02-21,55.8
2012-02-22,58.28
2012-02-23,55.8
2012-02-24,57.66
2012-02-25,57.66
2012-02-26,51.46
2012-02-27,53.94
2012-02-28,55.18
2012-02-29,56.42
2012-03-01,56.42
2012-03-02,58.28
2012-03-03,57.66
2012-03-04,54.56
2012-03-05,55.18
2012-03-06,57.04
2012-03-07,57.66
2012-03-08,60.14
2012-03-09,61.38
2012-03-10,60.14
2012-03-11,57.04
2012-03-12,57.04
2012-03-13,57.04
2012-03-14,53.94
2012-03-15,56.42
2012-03-16,62.0
2012-03-17,58.9
2012-03-18,54.56
2012-03-19,58.28
2012-03-20,55.18
2012-03-21,56.42
2012-03-22,56.42
2012-03-23,55.8
2012-03-24,53.94
2012-03-25,50.22
2012-03-26,54.56
2012-03-27,55.18
2012-03-28,52.7
2012-03-29,50.839999999999996
2012-03-30,55.18
2012-03-31,50.22
2012-04-01,52.199999999999996
2012-04-02,55.67999999999999
2012-04-03,52.779999999999994
2012-04-04,52.199999999999996
2012-04-05,54.519999999999996
2012-04-06,55.099999999999994
2012-04-07,52.199999999999996
2012-04-08,45.82
2012-04-09,57.99999999999999
2012-04-10,55.099999999999994
2012-04-11,53.94
2012-04-12,54.519999999999996
2012-04-13,54.519999999999996
2012-04-14,53.94
2012-04-15,50.459999999999994
2012-04-16,54.519999999999996
2012-04-17,54.519999999999996
2012-04-18,55.099999999999994
2012-04-19,55.099999999999994
2012-04-20,56.26
2012-04-21,51.62
2012-04-22,52.779999999999994
2012-04-23,52.779999999999994
2012-04-24,51.62
2012-04-25,55.099999999999994
2012-04-26,53.94
2012-04-27,55.099999999999994
2012-04-28,53.94
2012-04-29,50.459999999999994
2012-04-30,56.839999999999996
2012-05-01,51.33
2012-05-02,48.379999999999995
2012-05-03,50.15
2012-05-04,50.15
2012-05-05,47.79
2012-05-06,46.61
2012-05-07,51.33
2012-05-08,52.51
2012-05-09,51.33
2012-05-10,53.099999999999994
2012-05-11,51.33
2012-05-12,51.33
2012-05-13,48.97
2012-05-14,53.099999999999994
2012-05-15,53.099999999999994
2012-05-16,53.69
2012-05-17,59.0
2012-05-18,54.279999999999994
2012-05-19,51.919999999999995
2012-05-20,49.559999999999995
2012-05-21,53.69
2012-05-22,54.279999999999994
2012-05-23,51.919999999999995
2012-05-24,51.33
2012-05-25,53.099999999999994
2012-05-26,50.739999999999995
2012-05-27,45.43
2012-05-28,47.79
2012-05-29,53.099999999999994
2012-05-30,54.87
2012-05-31,53.69
2012-06-01,58.96
2012-06-02,56.28
2012-06-03,53.6
2012-06-04,58.96
2012-06-05,55.61000000000001
2012-06-06,54.27
2012-06-07,55.61000000000001
2012-06-08,55.61000000000001
2012-06-09,53.6
2012-06-10,47.57
2012-06-11,56.95
2012-06-12,67.0
2012-06-13,67.0
2012-06-14,62.980000000000004
2012-06-15,60.970000000000006
2012-06-16,56.28
2012-06-17,54.27
2012-06-18,61.64
2012-06-19,58.290000000000006
2012-06-20,61.64
2012-06-21,56.28
2012-06-22,58.96
