date,NVIDIA
2011-11-23,70.47
2011-11-24,82.65
2011-11-25,84.39
2011-11-26,72.21
2011-11-27,74.82
2011-11-28,74.82
2011-11-29,67.86
2011-11-30,65.25
2011-12-01,62.9
2011-12-02,62.9
2011-12-03,69.7
2011-12-04,62.05
2011-12-05,59.5
2011-12-06,57.8
2011-12-07,60.35
2011-12-08,55.25
2011-12-09,54.4
2011-12-10,67.14999999999999
2011-12-11,59.5
2011-12-12,51.0
2011-12-13,52.699999999999996
2011-12-14,57.8
2011-12-15,62.05
2011-12-16,67.14999999999999
2011-12-17,66.3
2011-12-18,68.0
2011-12-19,67.14999999999999
2011-12-20,64.6
2011-12-21,64.6
2011-12-22,76.5
2011-12-23,71.39999999999999
2011-12-24,80.75
2011-12-25,85.0
2011-12-26,78.2
2011-12-27,78.2
2011-12-28,69.7
2011-12-29,65.45
2011-12-30,72.25
2011-12-31,77.35
2012-01-01,71.25
2012-01-02,75.0
2012-01-03,58.5
2012-01-04,66.0
2012-01-05,68.25
2012-01-06,66.0
2012-01-07,68.25
2012-01-08,60.0
2012-01-09,65.25
2012-01-10,63.75
2012-01-11,60.75
2012-01-12,57.0
2012-01-13,63.0
2012-01-14,70.5
2012-01-15,72.0
2012-01-16,59.25
2012-01-17,69.0
2012-01-18,63.0
2012-01-19,64.5
2012-01-20,65.25
2012-01-21,66.75
2012-01-22,68.25
2012-01-23,55.5
2012-01-24,57.0
2012-01-25,61.5
2012-01-26,59.25
2012-01-27,55.5
2012-01-28,60.75
2012-01-29,60.0
2012-01-30,50.25
2012-01-31,58.5
2012-02-01,55.44
2012-02-02,58.32
2012-02-03,58.32
2012-02-04,66.96
2012-02-05,60.48
2012-02-06,48.239999999999995
2012-02-07,51.12
2012-02-08,55.44
2012-02-09,59.04
2012-02-10,65.52
2012-02-11,54.72
2012-02-12,51.12
2012-02-13,53.28
2012-02-14,52.559999999999995
2012-02-15,64.08
2012-02-16,61.199999999999996
2012-02-17,53.28
2012-02-18,61.199999999999996
2012-02-19,53.28
2012-02-20,56.16
2012-02-21,63.36
2012-02-22,72.0
2012-02-23,67.67999999999999
2012-02-24,64.8
2012-02-25,66.96
2012-02-26,67.67999999999999
2012-02-27,55.44
2012-02-28,51.12
2012-02-29,53.28
2012-03-01,60.349999999999994
2012-03-02,59.64
2012-03-03,63.19
2012-03-04,61.769999999999996
2012-03-05,51.12
2012-03-06,50.41
2012-03-07,53.959999999999994
2012-03-08,62.48
2012-03-09,56.8
2012-03-10,59.64
2012-03-11,44.019999999999996
