date,Disney
2012-08-04,40.32
2012-08-05,40.74
2012-08-06,36.54
2012-08-07,36.54
2012-08-08,34.44
2012-08-09,33.18
2012-08-10,34.86
2012-08-11,39.9
2012-08-12,40.74
2012-08-13,34.44
2012-08-14,34.019999999999996
2012-08-15,34.44
2012-08-16,32.76
2012-08-17,34.44
2012-08-18,39.059999999999995
2012-08-19,40.74
2012-08-20,33.6
2012-08-21,33.18
2012-08-22,31.5
2012-08-23,31.08
2012-08-24,31.919999999999998
2012-08-25,40.32
2012-08-26,42.0
2012-08-27,32.339999999999996
2012-08-28,31.08
2012-08-29,29.82
2012-08-30,30.66
2012-08-31,29.4
2012-09-01,35.1
2012-09-02,36.660000000000004
2012-09-03,37.050000000000004
2012-09-04,27.3
2012-09-05,24.18
2012-09-06,25.740000000000002
2012-09-07,26.52
2012-09-08,34.71
2012-09-09,33.93
2012-09-10,25.740000000000002
2012-09-11,26.130000000000003
2012-09-12,24.96
2012-09-13,24.96
2012-09-14,27.3
2012-09-15,35.88
2012-09-16,36.660000000000004
2012-09-17,28.86
2012-09-18,28.470000000000002
2012-09-19,27.69
2012-09-20,28.470000000000002
2012-09-21,28.86
2012-09-22,36.27
2012-09-23,35.88
2012-09-24,28.080000000000002
2012-09-25,28.080000000000002
2012-09-26,27.69
2012-09-27,28.080000000000002
2012-09-28,28.86
2012-09-29,36.27
2012-09-30,39.0
2012-10-01,28.38
2012-10-02,27.95
2012-10-03,27.09
2012-10-04,27.09
2012-10-05,28.38
2012-10-06,37.41
2012-10-07,36.98
2012-10-08,31.82
2012-10-09,27.09
2012-10-10,27.95
2012-10-11,27.52
2012-10-12,28.81
2012-10-13,36.55
2012-10-14,38.7
2012-10-15,30.099999999999998
2012-10-16,27.09
2012-10-17,27.09
2012-10-18,27.52
2012-10-19,29.669999999999998
2012-10-20,43.0
2012-10-21,39.56
2012-10-22,30.96
2012-10-23,27.52
2012-10-24,28.81
2012-10-25,27.09
2012-10-26,27.95
2012-10-27,33.54
2012-10-28,32.68
2012-10-29,27.95
2012-10-30,39.13
2012-10-31,40.42
2012-11-01,32.56
2012-11-02,33.0
2012-11-03,41.36
2012-11-04,41.36
2012-11-05,31.68
2012-11-06,29.48
