date,sba loans
2012-06-24,1.17
2012-06-25,1.38
2012-06-26,1.17
2012-06-27,1.2
2012-06-28,1.6199999999999999
2012-06-29,2.07
2012-06-30,2.67
2012-07-01,1.8
2012-07-02,2.36
2012-07-03,2.52
2012-07-04,2.32
2012-07-05,2.04
2012-07-06,1.48
2012-07-07,2.32
2012-07-08,1.16
2012-07-09,2.16
2012-07-10,1.24
2012-07-11,3.72
2012-07-12,2.8000000000000003
2012-07-13,2.2800000000000002
2012-07-14,1.56
2012-07-15,1.76
2012-07-16,0.92
2012-07-17,1.52
2012-07-18,3.08
2012-07-19,1.84
2012-07-20,2.84
2012-07-21,2.36
2012-07-22,4.0
2012-07-23,3.08
2012-07-24,3.04
2012-07-25,3.4
2012-07-26,2.7600000000000002
2012-07-27,1.92
2012-07-28,1.72
2012-07-29,1.16
2012-07-30,1.84
2012-07-31,3.3200000000000003
2012-08-01,2.73
2012-08-02,1.89
2012-08-03,1.3199999999999998
2012-08-04,0.0
2012-08-05,1.56
2012-08-06,2.61
2012-08-07,2.9699999999999998
2012-08-08,3.0
2012-08-09,2.9699999999999998
2012-08-10,2.07
2012-08-11,1.41
2012-08-12,1.8599999999999999
2012-08-13,2.73
2012-08-14,1.95
2012-08-15,2.01
2012-08-16,0.75
2012-08-17,2.37
2012-08-18,1.89
2012-08-19,1.89
2012-08-20,2.25
2012-08-21,1.98
2012-08-22,1.89
2012-08-23,2.55
2012-08-24,1.56
2012-08-25,0.9299999999999999
2012-08-26,2.13
2012-08-27,2.46
2012-08-28,2.52
2012-08-29,1.98
2012-08-30,2.01
2012-08-31,1.7999999999999998
2012-09-01,0.64
2012-09-02,1.08
2012-09-03,1.16
2012-09-04,2.16
2012-09-05,1.48
2012-09-06,4.0
2012-09-07,0.68
2012-09-08,2.4
2012-09-09,1.6
2012-09-10,1.48
2012-09-11,1.8
2012-09-12,0.8
2012-09-13,2.16
2012-09-14,2.32
2012-09-15,0.0
2012-09-16,1.84
2012-09-17,2.96
2012-09-18,1.44
2012-09-19,1.32
2012-09-20,1.68
2012-09-21,1.56
2012-09-22,1.24
2012-09-23,0.0
2012-09-24,2.72
2012-09-25,1.48
2012-09-26,1.0
2012-09-27,2.2
2012-09-28,1.28
2012-09-29,0.6
2012-09-30,1.24
2012-10-01,1.3199999999999998
2012-10-02,0.6599999999999999
2012-10-03,1.08
2012-10-04,1.53
2012-10-05,0.8999999999999999
2012-10-06,0.0
2012-10-07,1.6199999999999999
2012-10-08,0.6599999999999999
2012-10-09,1.5
2012-10-10,0.42
2012-10-11,0.44999999999999996
2012-10-12,1.1099999999999999
2012-10-13,0.8099999999999999
2012-10-14,0.0
2012-10-15,0.84
2012-10-16,1.26
2012-10-17,3.0
2012-10-18,2.16
2012-10-19,1.7999999999999998
