date,Walmart
2011-12-31,29.82
2012-01-01,45.0
2012-01-02,42.75
2012-01-03,34.65
2012-01-04,33.75
2012-01-05,32.85
2012-01-06,33.75
2012-01-07,39.15
2012-01-08,39.15
2012-01-09,31.95
2012-01-10,31.05
2012-01-11,31.05
2012-01-12,30.6
2012-01-13,31.95
2012-01-14,38.25
2012-01-15,37.35
2012-01-16,35.1
2012-01-17,30.6
2012-01-18,30.6
2012-01-19,30.150000000000002
2012-01-20,31.5
2012-01-21,36.45
2012-01-22,35.550000000000004
2012-01-23,30.6
2012-01-24,30.150000000000002
2012-01-25,29.7
2012-01-26,29.7
2012-01-27,31.05
2012-01-28,37.800000000000004
2012-01-29,38.7
2012-01-30,31.95
2012-01-31,30.6
2012-02-01,32.85
2012-02-02,33.75
2012-02-03,35.550000000000004
2012-02-04,42.300000000000004
2012-02-05,40.95
2012-02-06,33.75
2012-02-07,34.2
2012-02-08,34.2
2012-02-09,35.1
2012-02-10,36.9
2012-02-11,45.0
2012-02-12,41.4
2012-02-13,33.300000000000004
2012-02-14,33.75
2012-02-15,32.85
2012-02-16,33.75
2012-02-17,35.1
2012-02-18,40.5
2012-02-19,41.85
2012-02-20,37.35
2012-02-21,32.85
2012-02-22,32.85
2012-02-23,33.300000000000004
2012-02-24,33.300000000000004
2012-02-25,40.95
2012-02-26,41.85
2012-02-27,33.300000000000004
2012-02-28,31.5
2012-02-29,31.5
2012-03-01,32.68
2012-03-02,34.4
2012-03-03,41.28
2012-03-04,41.28
2012-03-05,33.97
2012-03-06,33.54
2012-03-07,32.25
2012-03-08,32.68
2012-03-09,34.83
2012-03-10,41.28
2012-03-11,43.0
2012-03-12,34.83
2012-03-13,33.54
2012-03-14,33.97
2012-03-15,35.26
2012-03-16,36.98
2012-03-17,40.85
2012-03-18,41.71
2012-03-19,34.4
2012-03-20,33.97
2012-03-21,32.68
2012-03-22,33.11
2012-03-23,33.11
2012-03-24,38.7
2012-03-25,39.99
2012-03-26,32.68
2012-03-27,32.25
2012-03-28,30.53
2012-03-29,30.099999999999998
2012-03-30,31.39
2012-03-31,36.12
2012-04-01,31.5
2012-04-02,26.88
2012-04-03,25.2
2012-04-04,25.619999999999997
2012-04-05,25.619999999999997
2012-04-06,28.98
2012-04-07,31.919999999999998
2012-04-08,42.0
2012-04-09,28.56
2012-04-10,25.2
2012-04-11,25.2
2012-04-12,24.779999999999998
2012-04-13,25.619999999999997
2012-04-14,29.82
2012-04-15,31.08
2012-04-16,25.2
2012-04-17,24.36
2012-04-18,24.36
2012-04-19,24.36
2012-04-20,26.88
2012-04-21,32.339999999999996
2012-04-22,31.919999999999998
2012-04-23,28.14
2012-04-24,26.88
2012-04-25,25.2
2012-04-26,24.779999999999998
2012-04-27,25.619999999999997
2012-04-28,30.66
2012-04-29,32.76
2012-04-30,26.88
2012-05-01,32.85
2012-05-02,31.5
2012-05-03,32.85
2012-05-04,32.4
2012-05-05,37.800000000000004
2012-05-06,38.25
2012-05-07,33.300000000000004
2012-05-08,32.85
2012-05-09,31.5
2012-05-10,33.300000000000004
2012-05-11,33.300000000000004
2012-05-12,40.5
2012-05-13,39.6
2012-05-14,33.75
2012-05-15,32.85
2012-05-16,33.300000000000004
2012-05-17,33.300000000000004
2012-05-18,34.2
2012-05-19,41.4
2012-05-20,42.75
2012-05-21,34.65
2012-05-22,33.300000000000004
2012-05-23,33.300000000000004
2012-05-24,34.65
2012-05-25,36.45
2012-05-26,44.550000000000004
2012-05-27,45.0
2012-05-28,44.550000000000004
2012-05-29,35.550000000000004
2012-05-30,33.75
2012-05-31,34.2
2012-06-01,38.22
2012-06-02,44.589999999999996
2012-06-03,44.1
2012-06-04,37.73
2012-06-05,36.26
2012-06-06,35.28
2012-06-07,36.75
2012-06-08,38.22
2012-06-09,42.63
2012-06-10,44.1
2012-06-11,39.69
2012-06-12,38.22
2012-06-13,36.26
2012-06-14,38.22
2012-06-15,40.67
2012-06-16,47.04
2012-06-17,45.08
2012-06-18,38.71
2012-06-19,39.2
2012-06-20,38.22
2012-06-21,39.69
2012-06-22,39.69
2012-06-23,45.57
2012-06-24,46.06
2012-06-25,39.2
2012-06-26,38.71
2012-06-27,38.22
2012-06-28,38.22
2012-06-29,41.16
2012-06-30,49.0
2012-07-01,49.0
2012-07-02,38.71
2012-07-03,39.2
2012-07-04,45.08
2012-07-05,39.69
2012-07-06,39.69
2012-07-07,44.589999999999996
2012-07-08,43.12
2012-07-09,37.24
2012-07-10,35.28
2012-07-11,36.26
2012-07-12,36.26
2012-07-13,37.24
2012-07-14,43.61
2012-07-15,44.1
2012-07-16,38.22
2012-07-17,37.24
2012-07-18,37.24
2012-07-19,36.75
2012-07-20,35.769999999999996
2012-07-21,42.63
2012-07-22,43.61
2012-07-23,36.75
2012-07-24,35.769999999999996
2012-07-25,35.28
2012-07-26,35.28
2012-07-27,36.75
2012-07-28,41.65
2012-07-29,42.63
2012-07-30,38.22
2012-07-31,37.24
2012-08-01,37.24
2012-08-02,37.24
2012-08-03,40.18
2012-08-04,45.08
2012-08-05,47.04
2012-08-06,38.71
2012-08-07,37.24
2012-08-08,37.24
2012-08-09,37.73
2012-08-10,39.2
2012-08-11,45.08
2012-08-12,46.06
2012-08-13,38.22
2012-08-14,37.73
2012-08-15,38.71
2012-08-16,39.69
2012-08-17,40.67
2012-08-18,49.0
2012-08-19,48.51
2012-08-20,40.67
2012-08-21,38.71
2012-08-22,36.26
2012-08-23,37.24
2012-08-24,38.22
2012-08-25,44.1
2012-08-26,45.08
2012-08-27,37.24
2012-08-28,36.26
2012-08-29,35.28
2012-08-30,36.26
2012-08-31,38.22
2012-09-01,47.0
2012-09-02,47.0
2012-09-03,47.0
2012-09-04,35.72
2012-09-05,34.309999999999995
2012-09-06,33.839999999999996
2012-09-07,35.72
2012-09-08,42.3
2012-09-09,42.3
2012-09-10,34.309999999999995
2012-09-11,34.309999999999995
2012-09-12,33.37
2012-09-13,33.839999999999996
2012-09-14,36.66
2012-09-15,43.239999999999995
2012-09-16,44.18
2012-09-17,36.66
2012-09-18,35.72
2012-09-19,35.25
2012-09-20,36.19
2012-09-21,38.07
2012-09-22,44.18
2012-09-23,43.239999999999995
2012-09-24,37.599999999999994
2012-09-25,36.66
2012-09-26,36.66
2012-09-27,34.78
2012-09-28,37.129999999999995
2012-09-29,44.65
2012-09-30,43.71
2012-10-01,37.599999999999994
2012-10-02,35.72
2012-10-03,35.25
2012-10-04,34.309999999999995
2012-10-05,36.19
2012-10-06,44.18
2012-10-07,42.769999999999996
2012-10-08,38.54
2012-10-09,36.19
2012-10-10,36.19
2012-10-11,36.19
2012-10-12,38.07
2012-10-13,44.18
2012-10-14,44.18
2012-10-15,37.129999999999995
2012-10-16,36.66
2012-10-17,35.25
2012-10-18,36.19
2012-10-19,38.07
2012-10-20,45.12
2012-10-21,45.12
2012-10-22,38.07
2012-10-23,36.66
2012-10-24,37.599999999999994
2012-10-25,38.07
2012-10-26,40.419999999999995
2012-10-27,47.0
2012-10-28,43.71
2012-10-29,37.599999999999994
2012-10-30,38.07
2012-10-31,36.19
2012-11-01,14.4
2012-11-02,16.0
2012-11-03,19.200000000000003
2012-11-04,19.200000000000003
2012-11-05,16.0
2012-11-06,15.200000000000001
2012-11-07,13.600000000000001
2012-11-08,20.0
2012-11-09,20.8
2012-11-10,24.0
2012-11-11,24.0
2012-11-12,21.6
2012-11-13,21.6
2012-11-14,20.8
2012-11-15,20.8
2012-11-16,23.200000000000003
2012-11-17,28.0
2012-11-18,31.200000000000003
2012-11-19,28.8
2012-11-20,29.6
2012-11-21,36.800000000000004
2012-11-22,68.0
2012-11-23,80.0
2012-11-24,38.400000000000006
2012-11-25,32.0
2012-11-26,37.6
2012-11-27,26.400000000000002
2012-11-28,20.8
2012-11-29,20.0
2012-11-30,22.400000000000002
2012-12-01,38.76
2012-12-02,41.04
2012-12-03,32.68
2012-12-04,32.68
2012-12-05,31.92
2012-12-06,32.68
2012-12-07,33.44
2012-12-08,39.52
2012-12-09,38.76
2012-12-10,33.44
2012-12-11,32.68
2012-12-12,32.68
2012-12-13,34.96
2012-12-14,34.2
2012-12-15,44.84
2012-12-16,46.36
2012-12-17,38.0
2012-12-18,38.76
2012-12-19,37.24
2012-12-20,38.76
2012-12-21,40.28
2012-12-22,48.64
2012-12-23,47.12
2012-12-24,53.96
2012-12-25,76.0
2012-12-26,47.88
2012-12-27,41.04
2012-12-28,32.68
2012-12-29,33.44
2012-12-30,33.44
2012-12-31,30.4
2013-01-01,47.0
2013-01-02,39.01
2013-01-03,37.599999999999994
2013-01-04,37.599999999999994
2013-01-05,42.769999999999996
2013-01-06,42.3
2013-01-07,34.309999999999995
2013-01-08,31.959999999999997
2013-01-09,31.959999999999997
2013-01-10,31.959999999999997
2013-01-11,33.839999999999996
2013-01-12,39.48
2013-01-13,39.949999999999996
2013-01-14,33.37
2013-01-15,32.9
2013-01-16,32.9
2013-01-17,30.549999999999997
2013-01-18,32.9
2013-01-19,39.949999999999996
2013-01-20,38.54
2013-01-21,35.72
2013-01-22,30.08
2013-01-23,30.08
2013-01-24,29.61
2013-01-25,31.959999999999997
2013-01-26,37.599999999999994
2013-01-27,38.07
2013-01-28,31.02
2013-01-29,29.61
2013-01-30,29.139999999999997
2013-01-31,30.549999999999997
2013-02-01,36.800000000000004
2013-02-02,42.78
2013-02-03,41.4
2013-02-04,32.660000000000004
2013-02-05,34.04
2013-02-06,34.5
2013-02-07,34.5
2013-02-08,36.800000000000004
2013-02-09,44.160000000000004
2013-02-10,46.0
2013-02-11,35.88
2013-02-12,35.42
2013-02-13,35.88
2013-02-14,35.88
2013-02-15,36.800000000000004
2013-02-16,45.080000000000005
