date,Amazon
2012-04-11,31.16
2012-04-12,30.78
2012-04-13,31.16
2012-04-14,34.58
2012-04-15,36.480000000000004
2012-04-16,31.16
2012-04-17,31.54
2012-04-18,31.92
2012-04-19,31.16
2012-04-20,30.4
2012-04-21,34.58
2012-04-22,38.0
2012-04-23,33.06
2012-04-24,32.3
2012-04-25,31.16
2012-04-26,31.16
2012-04-27,31.16
2012-04-28,35.34
2012-04-29,38.0
2012-04-30,32.68
2012-05-01,34.0
2012-05-02,34.800000000000004
2012-05-03,34.800000000000004
2012-05-04,33.6
2012-05-05,37.2
2012-05-06,39.2
2012-05-07,36.0
2012-05-08,35.6
2012-05-09,35.2
2012-05-10,34.800000000000004
2012-05-11,32.800000000000004
2012-05-12,37.2
2012-05-13,40.0
2012-05-14,37.2
2012-05-15,34.4
2012-05-16,35.6
2012-05-17,34.0
2012-05-18,32.800000000000004
2012-05-19,36.0
2012-05-20,38.800000000000004
2012-05-21,34.800000000000004
2012-05-22,34.4
2012-05-23,33.6
2012-05-24,33.6
2012-05-25,34.800000000000004
2012-05-26,35.6
2012-05-27,36.800000000000004
2012-05-28,38.400000000000006
2012-05-29,34.800000000000004
2012-05-30,34.4
2012-05-31,33.2
2012-06-01,34.03
2012-06-02,38.54
2012-06-03,40.589999999999996
2012-06-04,36.08
2012-06-05,35.26
2012-06-06,33.62
2012-06-07,34.44
2012-06-08,35.26
2012-06-09,38.129999999999995
2012-06-10,41.0
2012-06-11,38.129999999999995
2012-06-12,38.54
2012-06-13,36.489999999999995
2012-06-14,36.08
2012-06-15,35.26
2012-06-16,38.949999999999996
2012-06-17,40.589999999999996
2012-06-18,36.489999999999995
2012-06-19,37.72
2012-06-20,36.489999999999995
2012-06-21,35.669999999999995
2012-06-22,35.669999999999995
2012-06-23,38.129999999999995
2012-06-24,40.589999999999996
2012-06-25,36.489999999999995
2012-06-26,36.9
2012-06-27,35.669999999999995
2012-06-28,35.669999999999995
2012-06-29,34.03
2012-06-30,38.129999999999995
2012-07-01,41.71
2012-07-02,36.12
2012-07-03,36.12
2012-07-04,39.13
2012-07-05,36.55
2012-07-06,37.41
2012-07-07,41.28
2012-07-08,43.0
2012-07-09,36.98
2012-07-10,37.41
2012-07-11,36.55
2012-07-12,36.55
2012-07-13,36.98
2012-07-14,40.42
2012-07-15,41.71
2012-07-16,38.7
2012-07-17,39.56
2012-07-18,37.41
2012-07-19,36.55
2012-07-20,36.55
2012-07-21,39.13
2012-07-22,42.57
2012-07-23,38.7
2012-07-24,36.98
2012-07-25,35.69
2012-07-26,36.55
2012-07-27,35.26
2012-07-28,37.41
2012-07-29,41.28
2012-07-30,37.41
2012-07-31,36.98
2012-08-01,36.96
2012-08-02,35.64
2012-08-03,36.52
2012-08-04,39.160000000000004
2012-08-05,42.24
2012-08-06,37.4
2012-08-07,36.96
2012-08-08,37.4
2012-08-09,36.96
2012-08-10,36.08
2012-08-11,39.160000000000004
2012-08-12,39.160000000000004
2012-08-13,37.4
2012-08-14,38.72
2012-08-15,38.72
2012-08-16,37.4
2012-08-17,37.4
2012-08-18,42.68
2012-08-19,44.0
2012-08-20,39.160000000000004
2012-08-21,40.92
2012-08-22,40.04
2012-08-23,38.72
2012-08-24,39.160000000000004
2012-08-25,40.92
2012-08-26,41.8
2012-08-27,40.04
2012-08-28,40.04
2012-08-29,40.04
2012-08-30,38.28
2012-08-31,36.96
2012-09-01,42.300000000000004
2012-09-02,42.75
2012-09-03,45.0
2012-09-04,41.4
2012-09-05,40.95
2012-09-06,42.300000000000004
2012-09-07,38.25
2012-09-08,41.4
2012-09-09,45.0
2012-09-10,39.6
2012-09-11,38.25
2012-09-12,38.25
2012-09-13,38.25
2012-09-14,37.800000000000004
2012-09-15,44.1
2012-09-16,43.65
2012-09-17,39.6
2012-09-18,40.5
2012-09-19,37.800000000000004
2012-09-20,36.9
2012-09-21,37.35
2012-09-22,40.95
2012-09-23,44.550000000000004
2012-09-24,40.5
2012-09-25,38.25
2012-09-26,38.7
2012-09-27,37.35
2012-09-28,37.800000000000004
2012-09-29,41.4
2012-09-30,42.75
2012-10-01,37.84
2012-10-02,37.84
2012-10-03,36.08
2012-10-04,35.64
2012-10-05,36.52
2012-10-06,40.48
2012-10-07,43.12
2012-10-08,39.6
2012-10-09,38.28
2012-10-10,37.84
2012-10-11,36.08
2012-10-12,36.52
2012-10-13,41.36
2012-10-14,43.56
2012-10-15,40.04
2012-10-16,39.160000000000004
2012-10-17,36.52
2012-10-18,37.84
2012-10-19,38.28
2012-10-20,42.24
2012-10-21,44.0
2012-10-22,40.92
2012-10-23,38.72
2012-10-24,39.160000000000004
2012-10-25,37.84
2012-10-26,36.52
2012-10-27,39.160000000000004
2012-10-28,40.92
2012-10-29,35.64
2012-10-30,35.2
2012-10-31,34.76
2012-11-01,22.8
2012-11-02,23.4
2012-11-03,25.8
2012-11-04,28.799999999999997
2012-11-05,25.8
2012-11-06,22.8
2012-11-07,21.0
2012-11-08,25.8
2012-11-09,25.2
2012-11-10,28.799999999999997
2012-11-11,30.599999999999998
2012-11-12,28.799999999999997
2012-11-13,27.599999999999998
2012-11-14,27.0
2012-11-15,28.2
2012-11-16,27.599999999999998
2012-11-17,32.4
2012-11-18,34.8
2012-11-19,33.0
2012-11-20,32.4
2012-11-21,33.6
2012-11-22,41.4
2012-11-23,60.0
2012-11-24,48.6
2012-11-25,48.0
2012-11-26,58.8
2012-11-27,45.6
2012-11-28,35.4
2012-11-29,33.6
2012-11-30,34.8
2012-12-01,60.72
2012-12-02,62.099999999999994
2012-12-03,55.88999999999999
2012-12-04,53.81999999999999
2012-12-05,55.199999999999996
2012-12-06,55.199999999999996
2012-12-07,56.58
2012-12-08,63.48
2012-12-09,66.24
2012-12-10,60.72
2012-12-11,60.029999999999994
2012-12-12,58.65
2012-12-13,57.269999999999996
2012-12-14,55.88999999999999
2012-12-15,64.86
2012-12-16,66.92999999999999
2012-12-17,60.72
2012-12-18,60.029999999999994
2012-12-19,57.269999999999996
2012-12-20,53.81999999999999
2012-12-21,52.44
2012-12-22,55.88999999999999
2012-12-23,52.44
2012-12-24,51.74999999999999
2012-12-25,64.86
2012-12-26,69.0
2012-12-27,58.65
2012-12-28,55.199999999999996
2012-12-29,56.58
2012-12-30,55.199999999999996
2012-12-31,50.37
2013-01-01,52.92
2013-01-02,49.68000000000001
2013-01-03,51.300000000000004
2013-01-04,48.6
2013-01-05,54.0
2013-01-06,54.0
2013-01-07,47.52
2013-01-08,46.980000000000004
2013-01-09,45.900000000000006
2013-01-10,45.900000000000006
2013-01-11,45.36
2013-01-12,50.760000000000005
2013-01-13,50.760000000000005
2013-01-14,46.980000000000004
2013-01-15,45.36
2013-01-16,44.28
2013-01-17,43.74
2013-01-18,42.120000000000005
2013-01-19,47.52
2013-01-20,49.14
2013-01-21,46.980000000000004
2013-01-22,43.74
2013-01-23,42.120000000000005
2013-01-24,41.040000000000006
2013-01-25,42.660000000000004
2013-01-26,48.06
2013-01-27,50.220000000000006
2013-01-28,43.74
2013-01-29,42.120000000000005
2013-01-30,41.040000000000006
2013-01-31,42.660000000000004
2013-02-01,39.839999999999996
2013-02-02,45.6
2013-02-03,45.6
2013-02-04,38.4
2013-02-05,39.839999999999996
2013-02-06,40.32
2013-02-07,40.8
2013-02-08,38.879999999999995
2013-02-09,45.12
2013-02-10,48.0
2013-02-11,41.76
2013-02-12,40.8
2013-02-13,38.4
2013-02-14,36.96
2013-02-15,39.36
2013-02-16,44.16
2013-02-17,46.559999999999995
2013-02-18,43.199999999999996
2013-02-19,40.32
2013-02-20,40.32
2013-02-21,37.92
2013-02-22,39.36
2013-02-23,45.12
2013-02-24,46.08
2013-02-25,39.839999999999996
2013-02-26,40.8
2013-02-27,41.28
2013-02-28,39.839999999999996
2013-03-01,42.14
2013-03-02,46.55
2013-03-03,49.0
2013-03-04,42.14
2013-03-05,40.67
2013-03-06,40.67
2013-03-07,41.65
2013-03-08,41.16
2013-03-09,46.55
2013-03-10,49.0
2013-03-11,43.61
2013-03-12,42.63
2013-03-13,41.16
2013-03-14,39.69
2013-03-15,40.67
2013-03-16,44.1
2013-03-17,48.51
2013-03-18,42.63
2013-03-19,42.63
2013-03-20,40.18
2013-03-21,40.67
2013-03-22,40.18
2013-03-23,45.57
2013-03-24,48.51
2013-03-25,42.14
2013-03-26,41.65
2013-03-27,40.67
2013-03-28,40.18
2013-03-29,41.16
2013-03-30,44.589999999999996
2013-03-31,45.08
2013-04-01,41.28
2013-04-02,41.28
2013-04-03,41.28
2013-04-04,40.8
2013-04-05,40.8
2013-04-06,45.12
2013-04-07,47.04
2013-04-08,40.8
2013-04-09,39.839999999999996
2013-04-10,38.879999999999995
2013-04-11,39.36
2013-04-12,39.36
2013-04-13,45.6
2013-04-14,48.0
2013-04-15,39.36
2013-04-16,39.36
2013-04-17,40.32
2013-04-18,38.4
2013-04-19,36.96
2013-04-20,43.68
2013-04-21,48.0
2013-04-22,42.72
2013-04-23,40.32
2013-04-24,41.28
2013-04-25,39.839999999999996
2013-04-26,38.4
2013-04-27,43.199999999999996
2013-04-28,47.519999999999996
2013-04-29,42.239999999999995
2013-04-30,41.28
2013-05-01,42.0
2013-05-02,42.5
2013-05-03,41.5
2013-05-04,47.0
2013-05-05,50.0
2013-05-06,45.5
2013-05-07,44.0
2013-05-08,43.0
2013-05-09,42.5
2013-05-10,42.0
2013-05-11,46.0
2013-05-12,48.5
2013-05-13,43.5
2013-05-14,42.0
2013-05-15,43.0
2013-05-16,41.0
2013-05-17,42.0
2013-05-18,46.0
2013-05-19,48.0
2013-05-20,43.5
2013-05-21,42.0
2013-05-22,41.5
2013-05-23,41.5
2013-05-24,43.0
2013-05-25,46.5
2013-05-26,46.5
2013-05-27,50.0
2013-05-28,44.5
2013-05-29,44.5
2013-05-30,42.0
2013-05-31,42.0
2013-06-01,46.92
2013-06-02,49.980000000000004
2013-06-03,45.9
2013-06-04,44.88
2013-06-05,45.39
2013-06-06,44.88
2013-06-07,45.39
2013-06-08,48.96
2013-06-09,50.49
2013-06-10,47.43
2013-06-11,47.94
2013-06-12,46.410000000000004
2013-06-13,45.39
2013-06-14,44.37
2013-06-15,48.45
2013-06-16,51.0
2013-06-17,46.92
2013-06-18,46.92
2013-06-19,44.88
2013-06-20,43.35
2013-06-21,42.33
2013-06-22,47.94
2013-06-23,49.980000000000004
2013-06-24,45.39
2013-06-25,46.410000000000004
2013-06-26,43.35
2013-06-27,43.86
2013-06-28,43.86
2013-06-29,47.94
2013-06-30,51.0
2013-07-01,47.17
2013-07-02,46.64
2013-07-03,46.64
2013-07-04,48.760000000000005
2013-07-05,46.64
2013-07-06,50.35
2013-07-07,52.470000000000006
2013-07-08,47.7
2013-07-09,47.7
2013-07-10,47.17
2013-07-11,46.11
2013-07-12,45.580000000000005
2013-07-13,49.82
2013-07-14,50.35
2013-07-15,47.7
2013-07-16,46.64
2013-07-17,47.17
2013-07-18,45.580000000000005
2013-07-19,46.11
2013-07-20,50.35
2013-07-21,52.470000000000006
2013-07-22,49.29
2013-07-23,47.7
2013-07-24,47.17
2013-07-25,48.230000000000004
2013-07-26,47.17
2013-07-27,50.88
2013-07-28,53.0
2013-07-29,51.940000000000005
2013-07-30,50.88
2013-07-31,49.29
2013-08-01,47.6
2013-08-02,47.040000000000006
2013-08-03,51.52
2013-08-04,52.64000000000001
2013-08-05,49.28
2013-08-06,50.96000000000001
2013-08-07,48.160000000000004
2013-08-08,47.040000000000006
2013-08-09,47.040000000000006
2013-08-10,50.400000000000006
2013-08-11,53.760000000000005
2013-08-12,48.720000000000006
2013-08-13,47.6
2013-08-14,48.720000000000006
2013-08-15,46.480000000000004
2013-08-16,47.040000000000006
2013-08-17,52.080000000000005
2013-08-18,55.440000000000005
2013-08-19,56.00000000000001
2013-08-20,48.720000000000006
2013-08-21,48.720000000000006
2013-08-22,48.160000000000004
2013-08-23,46.480000000000004
2013-08-24,50.400000000000006
2013-08-25,53.760000000000005
2013-08-26,47.6
2013-08-27,49.28
2013-08-28,47.040000000000006
2013-08-29,47.040000000000006
2013-08-30,46.480000000000004
2013-08-31,49.84
2013-09-01,49.92
2013-09-02,52.0
2013-09-03,46.28
2013-09-04,44.2
2013-09-05,44.72
2013-09-06,42.64
2013-09-07,47.84
2013-09-08,48.36
2013-09-09,43.160000000000004
2013-09-10,42.120000000000005
2013-09-11,42.120000000000005
2013-09-12,42.120000000000005
2013-09-13,41.08
2013-09-14,45.760000000000005
2013-09-15,47.32
2013-09-16,42.64
2013-09-17,43.68
2013-09-18,41.6
2013-09-19,39.52
2013-09-20,41.08
2013-09-21,44.72
2013-09-22,47.84
2013-09-23,41.6
2013-09-24,40.56
2013-09-25,40.04
2013-09-26,39.0
2013-09-27,39.0
2013-09-28,43.68
2013-09-29,45.760000000000005
2013-09-30,41.08
2013-10-01,42.5
2013-10-02,41.5
2013-10-03,41.5
2013-10-04,41.0
2013-10-05,46.5
2013-10-06,48.5
2013-10-07,43.5
2013-10-08,42.5
2013-10-09,42.0
2013-10-10,42.5
2013-10-11,41.5
2013-10-12,45.5
2013-10-13,47.5
2013-10-14,44.5
2013-10-15,43.0
2013-10-16,43.0
2013-10-17,42.0
2013-10-18,41.0
2013-10-19,47.0
2013-10-20,49.0
2013-10-21,45.5
2013-10-22,45.5
2013-10-23,45.0
2013-10-24,43.0
2013-10-25,43.0
2013-10-26,46.0
2013-10-27,50.0
2013-10-28,44.5
2013-10-29,43.0
2013-10-30,41.5
2013-10-31,39.5
2013-11-01,25.2
2013-11-02,28.799999999999997
2013-11-03,30.0
2013-11-04,27.599999999999998
2013-11-05,26.4
2013-11-06,26.4
2013-11-07,25.2
2013-11-08,25.8
2013-11-09,30.0
2013-11-10,31.2
2013-11-11,30.0
2013-11-12,28.799999999999997
2013-11-13,28.799999999999997
2013-11-14,27.599999999999998
2013-11-15,28.2
2013-11-16,32.4
2013-11-17,33.0
2013-11-18,30.0
2013-11-19,29.4
2013-11-20,29.4
2013-11-21,28.799999999999997
2013-11-22,30.599999999999998
2013-11-23,34.199999999999996
2013-11-24,37.199999999999996
2013-11-25,32.4
2013-11-26,32.4
2013-11-27,34.199999999999996
2013-11-28,39.6
2013-11-29,60.0
2013-11-30,48.6
2013-12-01,52.800000000000004
2013-12-02,80.0
2013-12-03,60.800000000000004
2013-12-04,48.0
2013-12-05,46.400000000000006
2013-12-06,45.6
2013-12-07,52.0
2013-12-08,52.800000000000004
2013-12-09,47.2
2013-12-10,48.0
2013-12-11,47.2
2013-12-12,47.2
2013-12-13,47.2
2013-12-14,55.2
2013-12-15,56.800000000000004
2013-12-16,52.0
