date,Adobe
2012-01-16,75.60000000000001
2012-01-17,81.9
2012-01-18,84.60000000000001
2012-01-19,85.5
2012-01-20,83.7
2012-01-21,74.7
2012-01-22,73.8
2012-01-23,72.0
2012-01-24,83.7
2012-01-25,79.2
2012-01-26,83.7
2012-01-27,80.10000000000001
2012-01-28,65.7
2012-01-29,70.2
2012-01-30,76.5
2012-01-31,83.7
2012-02-01,84.28
2012-02-02,83.42
2012-02-03,79.12
2012-02-04,71.38
2012-02-05,70.52
2012-02-06,72.24
2012-02-07,84.28
2012-02-08,79.98
2012-02-09,80.84
2012-02-10,76.53999999999999
2012-02-11,67.94
2012-02-12,61.06
2012-02-13,70.52
2012-02-14,81.7
2012-02-15,79.12
2012-02-16,81.7
2012-02-17,75.67999999999999
2012-02-18,73.1
2012-02-19,67.08
2012-02-20,76.53999999999999
2012-02-21,81.7
2012-02-22,80.84
2012-02-23,82.56
2012-02-24,76.53999999999999
2012-02-25,70.52
2012-02-26,68.8
2012-02-27,76.53999999999999
2012-02-28,84.28
2012-02-29,86.0
2012-03-01,83.42
2012-03-02,83.42
2012-03-03,75.67999999999999
2012-03-04,70.52
2012-03-05,79.98
2012-03-06,86.0
2012-03-07,79.98
2012-03-08,81.7
2012-03-09,77.4
2012-03-10,68.8
2012-03-11,61.06
2012-03-12,73.1
2012-03-13,79.12
2012-03-14,77.4
2012-03-15,79.98
2012-03-16,71.38
2012-03-17,66.22
2012-03-18,61.06
2012-03-19,71.38
2012-03-20,76.53999999999999
2012-03-21,74.82
2012-03-22,84.28
2012-03-23,70.52
2012-03-24,63.64
2012-03-25,63.64
2012-03-26,72.24
2012-03-27,78.26
2012-03-28,79.12
2012-03-29,74.82
2012-03-30,69.66
2012-03-31,61.92
2012-04-01,64.78
2012-04-02,73.8
2012-04-03,77.08
2012-04-04,73.8
2012-04-05,73.8
2012-04-06,75.44
2012-04-07,62.31999999999999
2012-04-08,59.86
2012-04-09,72.16
2012-04-10,72.16
2012-04-11,74.61999999999999
2012-04-12,75.44
2012-04-13,69.7
2012-04-14,69.7
2012-04-15,64.78
2012-04-16,70.52
2012-04-17,74.61999999999999
2012-04-18,74.61999999999999
2012-04-19,69.7
2012-04-20,73.8
2012-04-21,59.04
2012-04-22,61.49999999999999
2012-04-23,82.0
2012-04-24,77.89999999999999
2012-04-25,76.25999999999999
2012-04-26,72.97999999999999
2012-04-27,65.6
2012-04-28,58.22
2012-04-29,54.94
2012-04-30,69.7
2012-05-01,74.4
2012-05-02,76.80000000000001
2012-05-03,70.4
2012-05-04,71.2
2012-05-05,64.0
2012-05-06,59.2
2012-05-07,79.2
2012-05-08,78.4
2012-05-09,76.0
2012-05-10,76.0
2012-05-11,80.0
2012-05-12,65.60000000000001
2012-05-13,60.800000000000004
2012-05-14,78.4
2012-05-15,76.80000000000001
2012-05-16,77.60000000000001
2012-05-17,77.60000000000001
2012-05-18,71.2
2012-05-19,64.8
2012-05-20,64.0
2012-05-21,69.60000000000001
2012-05-22,76.0
2012-05-23,73.60000000000001
2012-05-24,75.2
2012-05-25,69.60000000000001
2012-05-26,55.2
2012-05-27,60.0
2012-05-28,59.2
2012-05-29,73.60000000000001
2012-05-30,74.4
2012-05-31,75.2
2012-06-01,67.24
2012-06-02,54.12
2012-06-03,54.94
2012-06-04,65.6
2012-06-05,70.52
2012-06-06,71.33999999999999
2012-06-07,74.61999999999999
2012-06-08,68.06
2012-06-09,57.4
2012-06-10,54.94
2012-06-11,68.06
2012-06-12,72.97999999999999
2012-06-13,75.44
2012-06-14,81.17999999999999
2012-06-15,75.44
2012-06-16,66.42
2012-06-17,66.42
2012-06-18,74.61999999999999
2012-06-19,82.0
2012-06-20,77.08
2012-06-21,78.72
2012-06-22,74.61999999999999
2012-06-23,69.7
2012-06-24,67.24
2012-06-25,73.8
2012-06-26,79.53999999999999
2012-06-27,81.17999999999999
2012-06-28,77.89999999999999
2012-06-29,68.88
2012-06-30,61.49999999999999
2012-07-01,57.4
2012-07-02,70.52
2012-07-03,67.24
2012-07-04,57.4
2012-07-05,70.52
2012-07-06,67.24
2012-07-07,63.13999999999999
2012-07-08,59.86
2012-07-09,72.16
2012-07-10,71.33999999999999
2012-07-11,81.17999999999999
2012-07-12,76.25999999999999
2012-07-13,71.33999999999999
2012-07-14,60.68
2012-07-15,63.13999999999999
2012-07-16,68.88
2012-07-17,77.08
2012-07-18,82.0
2012-07-19,73.8
2012-07-20,70.52
2012-07-21,60.68
2012-07-22,59.04
2012-07-23,72.16
2012-07-24,76.25999999999999
2012-07-25,75.44
2012-07-26,76.25999999999999
2012-07-27,71.33999999999999
2012-07-28,63.13999999999999
2012-07-29,59.86
2012-07-30,77.08
2012-07-31,77.08
2012-08-01,77.4
2012-08-02,75.67999999999999
2012-08-03,73.96
2012-08-04,58.48
2012-08-05,65.36
2012-08-06,68.8
2012-08-07,74.82
2012-08-08,75.67999999999999
2012-08-09,75.67999999999999
2012-08-10,74.82
2012-08-11,61.06
2012-08-12,60.199999999999996
2012-08-13,73.1
2012-08-14,79.98
2012-08-15,84.28
2012-08-16,81.7
2012-08-17,72.24
2012-08-18,64.5
2012-08-19,65.36
2012-08-20,77.4
2012-08-21,82.56
2012-08-22,85.14
2012-08-23,85.14
2012-08-24,78.26
2012-08-25,64.5
2012-08-26,61.92
2012-08-27,77.4
