date,CocaCola
2012-02-25,23.369999999999997
2012-02-26,29.069999999999997
2012-02-27,43.31999999999999
2012-02-28,30.779999999999998
2012-02-29,39.9
2012-03-01,57.0
2012-03-02,60.0
2012-03-03,36.6
2012-03-04,31.799999999999997
2012-03-05,12.6
2012-03-06,38.4
2012-03-07,49.8
2012-03-08,30.599999999999998
2012-03-09,24.0
2012-03-10,47.4
2012-03-11,43.199999999999996
2012-03-12,46.8
2012-03-13,29.4
2012-03-14,51.6
2012-03-15,31.2
2012-03-16,20.4
2012-03-17,39.0
2012-03-18,59.4
2012-03-19,34.8
2012-03-20,30.599999999999998
2012-03-21,27.0
2012-03-22,12.0
2012-03-23,57.0
2012-03-24,43.8
2012-03-25,38.4
2012-03-26,38.4
2012-03-27,11.4
2012-03-28,34.8
2012-03-29,39.0
2012-03-30,28.799999999999997
2012-03-31,27.599999999999998
2012-04-01,22.419999999999998
2012-04-02,28.32
2012-04-03,31.27
2012-04-04,50.15
2012-04-05,17.7
2012-04-06,59.0
2012-04-07,37.169999999999995
2012-04-08,33.629999999999995
2012-04-09,34.22
2012-04-10,22.419999999999998
2012-04-11,41.3
2012-04-12,38.94
2012-04-13,28.91
2012-04-14,26.549999999999997
2012-04-15,39.53
2012-04-16,51.919999999999995
2012-04-17,44.25
2012-04-18,34.809999999999995
2012-04-19,38.94
2012-04-20,47.79
2012-04-21,48.97
2012-04-22,38.35
2012-04-23,51.919999999999995
2012-04-24,34.809999999999995
2012-04-25,44.839999999999996
2012-04-26,38.35
2012-04-27,27.139999999999997
2012-04-28,33.04
2012-04-29,26.549999999999997
2012-04-30,17.11
2012-05-01,29.28
2012-05-02,31.72
2012-05-03,26.23
2012-05-04,13.42
2012-05-05,37.21
2012-05-06,16.47
2012-05-07,17.08
2012-05-08,18.91
2012-05-09,27.45
2012-05-10,21.96
2012-05-11,16.47
2012-05-12,21.349999999999998
2012-05-13,20.13
2012-05-14,15.86
2012-05-15,25.62
2012-05-16,23.79
2012-05-17,13.42
2012-05-18,25.62
2012-05-19,26.23
2012-05-20,28.669999999999998
2012-05-21,17.08
2012-05-22,23.79
2012-05-23,15.25
2012-05-24,17.69
2012-05-25,31.11
2012-05-26,23.79
2012-05-27,61.0
2012-05-28,38.43
2012-05-29,19.52
2012-05-30,21.349999999999998
2012-05-31,13.42
2012-06-01,26.320000000000004
2012-06-02,47.040000000000006
2012-06-03,28.560000000000002
2012-06-04,38.080000000000005
2012-06-05,39.760000000000005
2012-06-06,36.96
2012-06-07,34.160000000000004
2012-06-08,43.68000000000001
2012-06-09,29.120000000000005
2012-06-10,33.6
2012-06-11,56.00000000000001
2012-06-12,44.24
2012-06-13,44.24
2012-06-14,34.160000000000004
2012-06-15,23.520000000000003
2012-06-16,44.24
2012-06-17,36.400000000000006
2012-06-18,44.800000000000004
2012-06-19,37.52
2012-06-20,30.240000000000002
2012-06-21,22.96
2012-06-22,27.44
2012-06-23,33.6
2012-06-24,24.64
2012-06-25,22.400000000000002
2012-06-26,21.840000000000003
2012-06-27,33.6
2012-06-28,49.28
2012-06-29,38.64
2012-06-30,38.080000000000005
2012-07-01,28.62
2012-07-02,41.040000000000006
2012-07-03,16.740000000000002
2012-07-04,22.68
2012-07-05,28.080000000000002
2012-07-06,49.68000000000001
2012-07-07,41.040000000000006
2012-07-08,41.040000000000006
2012-07-09,35.64
2012-07-10,25.380000000000003
2012-07-11,32.400000000000006
2012-07-12,32.940000000000005
2012-07-13,22.68
2012-07-14,18.36
2012-07-15,31.860000000000003
2012-07-16,29.160000000000004
2012-07-17,42.660000000000004
2012-07-18,36.18
2012-07-19,25.380000000000003
2012-07-20,33.480000000000004
2012-07-21,32.400000000000006
2012-07-22,18.900000000000002
2012-07-23,54.0
2012-07-24,26.46
2012-07-25,25.380000000000003
2012-07-26,37.800000000000004
2012-07-27,22.68
2012-07-28,48.6
2012-07-29,41.040000000000006
2012-07-30,36.18
2012-07-31,38.88
2012-08-01,37.63
2012-08-02,53.0
2012-08-03,23.85
2012-08-04,28.09
2012-08-05,47.7
2012-08-06,45.050000000000004
2012-08-07,33.39
2012-08-08,37.63
2012-08-09,30.21
2012-08-10,31.270000000000003
2012-08-11,28.09
2012-08-12,28.09
2012-08-13,16.96
2012-08-14,51.940000000000005
2012-08-15,37.63
2012-08-16,41.870000000000005
2012-08-17,35.510000000000005
2012-08-18,14.31
2012-08-19,21.73
2012-08-20,33.92
2012-08-21,33.92
2012-08-22,30.21
2012-08-23,38.690000000000005
2012-08-24,31.270000000000003
2012-08-25,48.760000000000005
2012-08-26,22.790000000000003
2012-08-27,14.84
2012-08-28,36.57
2012-08-29,37.1
2012-08-30,45.050000000000004
2012-08-31,23.32
2012-09-01,13.0
2012-09-02,33.800000000000004
2012-09-03,22.36
2012-09-04,25.48
2012-09-05,11.440000000000001
2012-09-06,52.0
2012-09-07,21.32
2012-09-08,9.36
2012-09-09,28.080000000000002
2012-09-10,25.48
2012-09-11,25.48
2012-09-12,30.16
2012-09-13,26.0
2012-09-14,16.12
2012-09-15,19.240000000000002
2012-09-16,12.48
2012-09-17,38.480000000000004
2012-09-18,34.84
2012-09-19,33.800000000000004
2012-09-20,44.2
2012-09-21,13.52
2012-09-22,19.240000000000002
2012-09-23,33.28
2012-09-24,19.240000000000002
2012-09-25,17.68
2012-09-26,20.28
2012-09-27,18.2
