date,Pfizer
2012-07-17,32.43
2012-07-18,41.83
2012-07-19,29.61
2012-07-20,31.959999999999997
2012-07-21,22.56
2012-07-22,19.74
2012-07-23,46.059999999999995
2012-07-24,44.65
2012-07-25,40.89
2012-07-26,32.9
2012-07-27,25.849999999999998
2012-07-28,15.51
2012-07-29,20.209999999999997
2012-07-30,31.959999999999997
2012-07-31,46.529999999999994
2012-08-01,32.16
2012-08-02,34.08
2012-08-03,27.36
2012-08-04,15.84
2012-08-05,15.36
2012-08-06,28.799999999999997
2012-08-07,36.96
2012-08-08,27.36
2012-08-09,48.0
2012-08-10,28.799999999999997
2012-08-11,15.84
2012-08-12,8.64
2012-08-13,33.12
2012-08-14,35.04
2012-08-15,37.44
2012-08-16,36.48
2012-08-17,25.919999999999998
2012-08-18,18.24
2012-08-19,11.04
2012-08-20,31.68
2012-08-21,35.519999999999996
2012-08-22,31.68
2012-08-23,35.04
2012-08-24,29.759999999999998
2012-08-25,21.599999999999998
2012-08-26,14.879999999999999
2012-08-27,24.0
2012-08-28,32.16
2012-08-29,30.72
2012-08-30,35.519999999999996
2012-08-31,27.36
2012-09-01,21.150000000000002
2012-09-02,16.650000000000002
2012-09-03,18.0
2012-09-04,40.95
2012-09-05,38.25
2012-09-06,35.550000000000004
2012-09-07,38.25
2012-09-08,16.650000000000002
2012-09-09,24.75
2012-09-10,32.4
2012-09-11,42.300000000000004
2012-09-12,37.35
2012-09-13,45.0
2012-09-14,34.2
2012-09-15,18.0
2012-09-16,20.25
2012-09-17,35.1
2012-09-18,41.4
2012-09-19,34.65
2012-09-20,37.800000000000004
2012-09-21,30.6
2012-09-22,16.650000000000002
2012-09-23,22.05
2012-09-24,31.05
2012-09-25,38.7
2012-09-26,34.65
2012-09-27,30.6
2012-09-28,37.800000000000004
2012-09-29,17.1
2012-09-30,8.55
2012-10-01,43.0
2012-10-02,28.81
2012-10-03,36.12
2012-10-04,39.99
2012-10-05,27.52
2012-10-06,14.62
2012-10-07,22.79
2012-10-08,25.37
2012-10-09,42.57
2012-10-10,37.839999999999996
2012-10-11,42.14
2012-10-12,36.55
2012-10-13,11.61
2012-10-14,17.63
2012-10-15,37.41
2012-10-16,28.38
2012-10-17,37.41
2012-10-18,39.99
2012-10-19,26.66
2012-10-20,11.61
2012-10-21,18.06
2012-10-22,40.85
2012-10-23,35.69
2012-10-24,24.509999999999998
2012-10-25,31.82
2012-10-26,28.81
2012-10-27,12.47
2012-10-28,10.75
2012-10-29,33.54
2012-10-30,20.64
2012-10-31,29.669999999999998
2012-11-01,39.059999999999995
2012-11-02,23.52
2012-11-03,15.959999999999999
2012-11-04,20.16
2012-11-05,31.919999999999998
2012-11-06,28.98
2012-11-07,31.08
2012-11-08,37.379999999999995
2012-11-09,35.28
2012-11-10,16.8
2012-11-11,15.54
2012-11-12,29.4
2012-11-13,32.76
2012-11-14,40.32
2012-11-15,37.8
2012-11-16,30.24
2012-11-17,20.58
2012-11-18,10.08
2012-11-19,37.8
2012-11-20,26.04
2012-11-21,23.52
2012-11-22,14.7
2012-11-23,16.8
2012-11-24,18.48
2012-11-25,21.84
2012-11-26,28.14
2012-11-27,42.0
2012-11-28,36.12
2012-11-29,37.379999999999995
2012-11-30,39.059999999999995
2012-12-01,20.67
2012-12-02,15.21
2012-12-03,37.83
2012-12-04,38.61
2012-12-05,37.44
2012-12-06,39.0
2012-12-07,35.49
2012-12-08,19.89
2012-12-09,16.38
2012-12-10,29.25
